Q,A,label
The object or library file 'file' was created with an older compiler than other objects; rebuild old objects and libraries,개체 또는 라이브러리 파일 'file'은 다른 개체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 개체 및 라이브러리를 다시 빌드하세요.,0
unknown option 'string' in 'option',알 수 없는 옵션 'string'이 'option'에 있습니다.,0
invalid numerical argument 'value','value' 숫자 인수가 잘못되었습니다.,0
"program database file, 'file', has an obsolete format, delete it and recompile",'file' 프로그램 데이터베이스 파일에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.,0
"program database file, 'filename', was generated by the linker with /DEBUG:fastlink; compiler cannot update such PDB files; please delete it or use /Fd to specify a different PDB filename",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.,0
'function': function too large,'function': 함수가 너무 큽니다.,0
compiler limit: initializers nested too deeply,컴파일러 한계: 이니셜라이저가 너무 많이 중첩되었습니다.,0
compiler limit: out of keys,컴파일러 한계: 키가 부족합니다.,0
unexpected end of file in macro expansion,매크로 확장에서 예기치 않은 파일의 끝이 나타났습니다.,0
compiler is out of heap space,컴파일러의 힙 공간이 부족합니다.,0
compiler limit: blocks nested too deeply,컴파일러 한계: 블록이 너무 많이 중첩되었습니다.,0
compiler limit: compiler stack overflow,컴파일러 한계: 컴파일러 스택 오버플로입니다.,0
compiler limit: token overflowed internal buffer,컴파일러 한계: 내부 버퍼에서 토큰 오버플로가 발생했습니다.,0
compiler limit: out of tags,컴파일러 한계: 태그가 부족합니다.,0
compiler limit: 64K limit on size of a type record has been exceeded,컴파일러 한계: 형식 레코드 크기의 64K 한도를 초과했습니다.,0
cannot open file 'file','file' 파일을 열 수 없습니다.,0
cannot read compiler command line,컴파일러 명령줄을 읽을 수 없습니다.,0
mismatched #if/#endif pair in file 'file','file' 파일에서 #if/#endif 쌍이 짝이 맞지 않습니다.,0
unexpected end of file found in comment,주석에서 예기치 않은 파일의 끝이 나타났습니다.,0
"Internal error involving incremental compilation(compiler file 'file', line number)","증분 컴파일과 관련된 내부 오류입니다(컴파일러 파일 'file', 줄 number).",0
'IDB' is illegal extension for PDB file: file,'IDB'는 PDB 파일 file에 적합한 확장명이 아닙니다.,0
the left token was unmatched at the end of the file,파일 끝에 왼쪽 토큰 이 일치하지 않습니다.,0
compiler limit: internal heap limit reached; use /Zm to specify a higher limit,컴파일러 한계: 내부 힙 한계에 도달했습니다. /Zm을 사용하여 한계를 더 높게 지정하세요.,0
compiler limit: cannot have more than number command line options,컴파일러 한계: 명령줄 옵션을 number 개보다 많이 지정할 수 없습니다.,0
compiler limit: PCH file size limit exceeded,컴파일러 한계: PCH 파일 크기 한계를 초과했습니다.,0
compiler limit: command line option exceeded limit of number characters,컴파일러 한계: 명령줄 옵션이 number 자 한계를 초과했습니다.,0
'file': file name too long,'file': 파일 이름이 너무 깁니다.,0
cannot close type file: 'file': message,type 파일을 닫을 수 없습니다.'file': message,0
cannot open type file: 'file': message,type 파일을 열 수 없습니다. 'file': message,0
cannot read type file: 'file': message,type 파일을 읽을 수 없습니다. 'file': message,0
cannot write type file: 'file': message,type 파일에 쓸 수 없습니다. 'file': message,0
cannot seek type file: 'file': message,type 파일을 검색할 수 없습니다. 'file': message,0
cannot tell type file: 'file': message,type 파일에 알릴 수 없습니다. 'file': message,0
cannot flush type file: 'file': message,type 파일을 플러시할 수 없습니다. 'file': message,0
cannot truncate type file: 'file': message,type 파일을 자를 수 없습니다. 'file': message,0
"PDB API call failed, error code 'code': 'message'",PDB API를 호출하지 못했습니다. 오류 코드 'code': 'message',0
compiler limit: string exceeds number bytes in length,컴파일러 한계: 문자열 길이가 number 바이트를 초과합니다.,0
Edit and Continue does not support changes to data types; build required,편집하며 계속하기는 데이터 형식에 대한 변경 내용은 지원하지 않습니다. 빌드해야 합니다.,0
API call 'function' failed 'HRESULT' : 'description','function' API 호출이 'HRESULT'에서 실패했습니다 : 'description',0
'-Zmnumber': command line option is inconsistent with value used to build precompiled header ('-Zmnumber'),'-Zmnumber': 명령줄 옵션이 미리 컴파일된 헤더('-Zmnumber')를 빌드하는 데 사용한 값과 일치하지 않습니다.,0
Version mismatch with Edit and Continue engine,버전이 편집하며 계속하기 엔진과 일치하지 않습니다.,0
Edit and Continue engine terminating compile,편집하며 계속하기 엔진이 컴파일을 종료하고 있습니다.,0
unable to initialize OLE: error,OLE를 초기화할 수 없습니다. error,0
cannot create handler for attribute 'identifier','identifier' 특성에 대한 처리기를 만들 수 없습니다.,0
unable to initialize: error,초기화할 수 없습니다. error,0
fatal error importing progid: 'message',progid를 가져오는 중 오류가 발생했습니다. 'message',0
fatal error importing libid: 'message',libid를 가져오는 중 오류가 발생했습니다. 'message',0
message: error,message: error,0
could not find assembly 'assembly': please specify the assembly search path using /AI or by setting the LIBPATH environment variable,'assembly' 어셈블리를 찾을 수 없습니다. /AI를 사용하거나 LIBPATH 환경 변수를 설정하여 어셈블리 검색 경로를 지정하세요.,0
unable to find DLL: 'file','file' DLL을 찾을 수 없습니다.,0
unable to find 'symbol' in DLL 'file','symbol'을 DLL 'file'에서 찾을 수 없습니다.,0
too many nested template/generic definitions,템플릿/제네릭 정의가 너무 많이 중첩되었습니다.,0
too many template/generic parameters,템플릿/제네릭 매개 변수가 너무 많습니다.,0
"compiler limit: 'number' too many macro arguments, only number allowed",컴파일러 제한: 'number'에 매크로 인수가 너무 많고 숫자 만 허용됨,0
#using failed on 'file',#using이 'file'에서 실패했습니다.,0
'file': WinRT does not support #using of a managed assembly,'file': WinRT는 관리되는 어셈블리의 #using을 지원하지 않습니다.,0
call to GetProcAddress failed for 'function','function'에 대한 GetProcAddress 호출이 실패했습니다.,0
call to CryptoAPI failed,CryptoAPI에 대한 호출이 실패했습니다.,0
automatic allocation exceeds size,자동 할당이 size를 초과합니다.,0
number of sections exceeded object file format limit: compile with /bigobj,섹션 수가 개체 파일 형식 한도를 초과했습니다. /bigobj를 사용하여 컴파일하세요.,0
#error: message,#error: 메시지,0
managed targeted code requires a '/clr' option,관리되는 대상 코드에는 '/clr' 옵션을 사용해야 합니다.,0
'file' can only be imported at global scope,전역 범위에서만 'file'을 가져올 수 있습니다.,0
#using failed on 'file',#using이 'file'에서 실패했습니다.,0
an error expected in file(line) not reached,file(line)의 예상 오류에 도달하지 못했습니다.,0
use of /Yu and /Yc on the same command line is incompatible with the /clr option,같은 명령줄에서 /Yu 및 /Yc를 사용하면 /clr 옵션과 호환되지 않습니다.,0
'identifier' : identifier found in type library 'typelib' is not a valid C++ identifier,'identifier' : 형식 라이브러리 'typelib'의 이 식별자는 올바른 C++ 식별자가 아닙니다.,0
cannot reference 'file' as the program has already referenced 'file','file'을 참조할 수 없습니다. 프로그램에서 이미 'file'을 참조했습니다.,0
unable to continue after syntax error in class template definition,클래스 템플릿 정의에 구문 오류가 있어서 계속할 수 없습니다.,0
recursive type or function dependency context too complex,재귀 형식 또는 함수 종속성 컨텍스트가 너무 복잡합니다.,0
Generics are not supported by the version of the runtime installed,설치된 런타임 버전에서는 제네릭이 지원되지 않습니다.,0
Per-appdomain data is not supported by the version of the runtime installed,설치된 런타임 버전에서는 appdomain별 데이터가 지원되지 않습니다.,0
Managed templates not supported by the version of the runtime installed,설치된 런타임 버전에서는 관리되는 템플릿이 지원되지 않습니다.,0
Allocating reference classes on the stack is not supported by the version of the runtime installed,설치된 런타임 버전에서는 참조 클래스를 스택에 할당할 수 없습니다.,0
Friend assemblies not supported by the version of the runtime installed,설치된 런타임 버전에서는 friend 어셈블리가 지원되지 않습니다.,0
/clr:pure and /clr:safe are not supported by the version of the runtime installed,설치된 런타임 버전에서는 /clr:pure 및 /clr:safe가 지원되지 않습니다.,0
The TypeForwardedTo Custom Attribute is not supported by the version of the runtime installed,설치된 런타임 버전에서는 TypeForwardedTo 사용자 지정 특성이 지원되지 않습니다.,0
error accessing program database file (message),file (message) 프로그램 데이터베이스에 액세스하는 동안 오류가 발생했습니다.,0
"error accessing program database file, invalid format, please delete and rebuild",file프로그램 데이터베이스에 액세스하는 동안 오류가 발생했습니다. 형식이 잘못되었습니다. 삭제한 다음 다시 빌드하세요.,0
no profile data for module 'module' in profile database 'file','module' 모듈의 프로필 데이터가 'file' 프로필 데이터베이스에 없습니다.,0
profile database 'file' is for a different architecture,'file' 프로필 데이터베이스는 다른 아키텍처용입니다.,0
last change to profile data base 'file' was not optimization analysis; optimization decisions may be out of date,'file' 프로필 데이터베이스의 마지막 변경 내용이 최적화 분석이 아닙니다. 최적화 결정 기간이 만료되었습니다.,0
program has been edited since profile data was collected,프로필 데이터가 수집된 이후 프로그램이 편집되었습니다.,0
file: linking assemblies is not supported,file: 링크 어셈블리는 지원되지 않습니다.,0
Mismatched versions of C2.DLL and pgodbver.DLL,C2.DLL과 pgodbver.DLL의 버전이 일치하지 않습니다.,0
profile guided optimizations are not available with OpenMP,OpenMP에서는 프로필 기반 최적화를 사용할 수 없습니다.,0
COFF format cannot statically initialize 'symbol' with number byte(s) of an address,COFF 형식은number바이트의 주소를 사용하여 ' symbol '을 정적으로 초기화할 수 없습니다.,0
Too many conditional branches in function. Simplify or refactor source code.,함수에 조건부 분기가 너무 많습니다. 소스 코드를 단순화하거나 리팩터링하세요.,0
compiler limit: type blocks may not be nested deeper than number levels,컴파일러 한도: type 블록은 number 보다 깊은 수준으로 중첩될 수 없습니다.,0
error loading dll 'file': dll not found,'file' dll을 로드하는 동안 오류가 발생했습니다. dll을 찾을 수 없습니다.,0
error loading dll 'file': incompatible version,'file' dll을 로드하는 동안 오류가 발생했습니다. 호환되지 않는 버전입니다.,0
Invalid or corrupt MSIL in function 'function' from module 'module','module' 모듈의 'function' 함수에 잘못되었거나 손상된 MSIL이 있습니다.,0
metadata operation failed: runtime not installed or version mismatch,메타데이터 작업이 실패했습니다. 런타임이 설치되지 않았거나 버전이 일치하지 않습니다.,0
the PCH file 'file' has been rebuilt since 'obj' was generated. Please rebuild this object,'file' PCH 파일이 'obj'가 생성된 후 다시 빌드되었습니다. 이 개체를 다시 빌드하세요.,0
compiler option /GL is incompatible with the installed version of common language runtime,컴파일러 옵션 /GL은 설치된 공용 언어 런타임 버전과 호환되지 않습니다.,0
Incorrect setting for PGO_PATH_TRANSLATION when linking 'file','file'을 링크할 때 PGO_PATH_TRANSLATION의 설정이 잘못되었습니다.,0
Failed to generate debug information when compiling the call graph for the concurrency::parallel_for_each at: 'callsite','callsite'에서 concurrency::parallel_for_each에 대해 호출 그래프를 컴파일하는 동안 디버그 정보를 생성하지 못했습니다.,0
unrecoverable parser look-ahead error,복구할 수 없는 파서 미리 보기 오류입니다.,0
unrecoverable block scoping error,복구할 수 없는 블록 범위 지정 오류입니다.,0
compiler limit: 'function': more than 65535 argument bytes,"컴파일러 한계: 'function': 인수가 65,535바이트가 넘습니다.",0
compiler limit: too many exception handler states in function 'function'; simplify function,컴파일러 한계: 'function' 함수에 예외 처리기 상태가 너무 많습니다. 함수를 간단하게 만드세요.,0
Cannot open language resource clui.dll,언어 리소스 clui.dll을 열 수 없습니다.,0
unsupported inline assembly opcode,지원되지 않는 인라인 어셈블리 opcode입니다.,0
unsupported intrinsic,지원되지 않는 내장 함수입니다.,0
inline assembly branch target out of range by number bytes,인라인 어셈블리 분기 대상이 number 바이트만큼 범위를 벗어났습니다.,0
'file' is not a valid precompiled header file,'file'은 올바른 미리 컴파일된 헤더 파일이 아닙니다.,0
"'file' precompiled header file is from a previous version of the compiler, or the precompiled header is C++ and you are using it from C (or vice versa)","'file' 미리 컴파일된 헤더 파일이 이전 버전의 컴파일러에서 만들어졌거나, 미리 컴파일된 헤더가 C++인데 C에서 사용하고 있거나 그 반대의 경우입니다.",0
cannot overwrite information formed during creation of the precompiled header in object file: 'file',미리 컴파일된 헤더를 개체 파일 'file'에 만드는 동안 구성된 정보를 덮어쓸 수 없습니다.,0
Il mismatch between 'tool' version 'number' and 'tool' version 'number','tool' 버전 'number'와 'tool' 버전 'number' 사이에 Il이 일치하지 않습니다.,0
Internal memory management error,내부 메모리 관리 오류입니다.,0
Program database manager mismatch; please check your installation,프로그램 데이터베이스 관리자가 일치하지 않습니다. 설치를 확인하세요.,0
unable to recover from previous error(s); stopping compilation,이전 오류를 복구할 수 없습니다. 컴파일이 중지됩니다.,0
bad provider interaction: 'file',잘못된 공급자 상호 작용: 'file',0
Front end and back end not compatible (must target same processor).,프런트 엔드와 백 엔드가 호환되지 않습니다. 같은 프로세서를 대상으로 해야 합니다.,0
"UNKNOWN ERROR Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information",알 수 없음 오류 Visual C++ 도움말 메뉴에서 기술 지원 명령을 선택하거나 기술 지원 도움말 파일을 열어 자세한 내용을 확인하세요.,0
newline in constant,상수의 줄,0
invalid wide-character constant,잘못된 와이드 문자 상수,0
expected 'defined id','정의된 ID'가 필요합니다.,0
expected 'defined(id)','defined(id)'가 필요합니다.,0
"#line expected a line number, found 'token'",#line '토큰'을 찾은 줄 번호가 필요합니다.,0
"'directive': expected a filename, found 'token'",'directive': 'token'을 찾은 파일 이름이 필요합니다.,0
#define syntax,#define 구문,0
'character': unexpected in macro definition,'character': 매크로 정의에서 예기치 않은,0
reuse of macro formal 'identifier',매크로 형식 'identifier'를 다시 사용,0
'character': unexpected in macro formal parameter list,'character': 매크로 정식 매개 변수 목록에서 예기치 않은,0
'identifier': 'type' type redefinition,'identifier': 'type' 형식 재정의,0
missing name following '<','<' 뒤에 이름이 없습니다.,0
missing '>','>'이(가) 없습니다.,0
preprocessor command must start as first nonwhite space,전처리기 명령은 첫 번째 비백인 공간으로 시작해야 합니다.,0
too many characters in constant,상수에 너무 많은 문자,0
C requires that a struct or union has at least one member,C를 사용하려면 구조체 또는 공용 구조체에 하나 이상의 멤버가 있어야 합니다.,0
illegal escape sequence,잘못된 이스케이프 시퀀스,0
unknown character '0xvalue',알 수 없는 문자 '0xvalue',0
"expected preprocessor directive, found 'character'",'character'를 찾은 전처리기 지시문이 필요합니다.,0
'member': 'class' member redefinition,'member': 'class' 멤버 재정의,0
"expected exponent value, not 'character'",'character'가 아닌 예상 지수 값,0
'number': too big for character,'number': 너무 커서 문자가 너무 큽,0
'identifier': Alignment (number1) different from prior declaration (number2),'identifier': 이전 선언과 다른 맞춤(number1) (number2),0
"'alignas' attribute applies to variables, data members and tag types only","'alignas' 특성은 변수, 데이터 멤버 및 태그 형식에만 적용됩니다.",0
invalid or corrupted binary module interface file: 'filename',잘못되었거나 손상된 이진 모듈 인터페이스 파일: 'filename',0
"string too big, trailing characters truncated",문자열이 너무 크고 후행 문자가 잘렸습니다.,0
use of undefined type 'type',정의되지 않은 형식 'type'의 사용,0
struct/union member must be inside a struct/union,구조체/공용 구조체 멤버는 구조체/공용 구조체 안에 있어야 합니다.,0
left of 'token' specifies undefined class/struct/interface 'identifier','token'의 왼쪽은 정의되지 않은 클래스/구조체/인터페이스 'identifier'를 지정합니다.,0
a destructor with 'protected private' accessibility cannot be a member of a class declared 'sealed','protected private' 접근성을 가진 소멸자는 'sealed'로 선언된 클래스의 멤버일 수 없습니다.,0
a virtual destructor with 'accessibility' accessibility is not allowed for this type,이 형식에는 '접근성' 접근성이 있는 가상 소멸자가 허용되지 않습니다.,0
'identifier': function cannot be member of struct/union 'type','identifier': 함수는 구조체/공용 구조체 'type'의 멤버일 수 없습니다.,0
'identifier': bit field cannot have indirection,'identifier': 비트 필드에 간접 참조가 있을 수 없습니다.,0
'identifier': type of bit field too small for number of bits,'identifier': 비트 수에 비해 비트 필드 형식이 너무 작음,0
a non-virtual destructor with 'accessibility' accessibility is not allowed for this type,이 형식에는 '접근성' 접근성이 있는 가상이 아닌 소멸자가 허용되지 않습니다.,0
'identifier': unknown size,'identifier': 알 수 없는 크기,0
left of 'identifier' specifies undefined struct/union 'type','identifier'의 왼쪽은 정의되지 않은 구조체/공용 구조체 'type'을 지정합니다.,0
the std namespace cannot be inline,std 네임스페이스는 인라인일 수 없습니다.,0
'identifier1': is not a member of 'identifier2','identifier1': 'identifier2'의 멤버가 아닙니다.,0
'operator': 'identifier1' differs in levels of indirection from 'identifier2','operator': 'identifier1'은 'identifier2'의 간접 참조 수준이 다릅니다.,0
illegal digit 'character' for base 'number',기본 'number'에 대한 잘못된 숫자 'character',0
signed/unsigned keywords mutually exclusive,signed/unsigned 키워드는 함께 사용할 수 없습니다.,0
illegal break,break가 잘못되었습니다.,0
illegal continue,continue가 잘못되었습니다.,0
'identifier': label redefined,'identifier': 레이블이 다시 정의됨,0
illegal case,대/소문자가 잘못되었습니다.,0
illegal default,기본값이 잘못되었습니다.,0
more than one default,기본값이 둘 이상입니다.,0
'identifier': non-inline namespace cannot be reopened as inline,'identifier': 인라인이 아닌 네임스페이스를 인라인으로 다시 열 수 없습니다.,0
switch expression not integral,switch 식이 정수가 아님,0
case expression not constant,case 식이 상수가 아님,0
'type': illegal type for case expression,'type': case 식에 잘못된 형식,0
'identifier': wide string mismatch,'identifier': 와이드 문자열 불일치,0
expected '(' to follow 'identifier','('가 'identifier'를 따라야 합니다.,0
"expected formal parameter list, not a type list",형식 목록이 아닌 형식 매개 변수 목록이 필요합니다.,0
illegal expression,잘못된 식,0
expected constant expression,상수 식이 필요합니다.,0
constant expression is not integral,상수 식이 정수 계열이 아닙니다.,0
syntax error: 'token',구문 오류: 'token',0
syntax error: end of file found,구문 오류: 파일의 끝을 찾았습니다.,0
syntax error: identifier 'identifier',구문 오류: 식별자 'identifier',0
type 'type' unexpected,'type' 형식이 예기치 않음,0
'identifier': not a function,'identifier': 함수가 아닙니다.,0
term does not evaluate to a function taking number arguments,용어는 숫자 인수를 사용하는 함수로 평가되지 않습니다.,0
'identifier': undeclared identifier,'identifier': 선언되지 않은 식별자,0
cast to function type is illegal,함수 형식으로 캐스팅이 잘못되었습니다.,0
cast to array type is illegal,배열 형식으로 잘못 캐스팅했습니다.,0
illegal use of overloaded function. Missing argument list?,오버로드된 함수를 잘못 사용했습니다. 인수 목록이 없나요?,0
cast of 'void' term to non-'void','void' 항에서 비 'void'로 캐스팅했습니다.,0
'type': illegal sizeof operand,'type': 잘못된 sizeof 피연산자,0
'identifier': illegal storage class,'identifier': 잘못된 스토리지 클래스,0
'identifier': initialization of a function,'identifier': 함수 초기화,0
'identifier': elements of partially initialized array must have a default constructor,'identifier': 부분적으로 초기화된 배열의 요소에는 기본 생성자가 있어야 합니다.,0
'identifier': 'type' initialization requires a brace-enclosed initializer list,'identifier': 'type' 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.,0
'identifier': array initialization requires a brace-enclosed initializer list,'identifier': 배열 초기화에는 중괄호로 묶인 이니셜라이저 목록이 필요합니다.,0
a brace-enclosed initializer list cannot be used in a new-expression whose type contains 'type',중괄호로 묶인 이니셜라이저 목록은 형식에 'type'이 포함된 new-expression에서 사용할 수 없습니다.,0
non-scalar field initializer 'identifier',스칼라가 아닌 필드 이니셜라이저 'identifier',0
too many initializers,이니셜라이저가 너무 많습니다.,0
'identifier' uses undefined struct/class/union 'type','identifier'는 정의되지 않은 구조체/클래스/공용 구조체 'type'을 사용합니다.,0
'identifier': the type for 'type' can only be deduced from a single initializer expression,'identifier': 'type'의 형식은 단일 이니셜라이저 식에서만 추론할 수 있습니다.,0
'identifier': name in formal parameter list illegal,'identifier': 정식 매개 변수 목록의 이름이 잘못되었습니다.,0
redefinition of formal parameter 'identifier',공식 매개 변수 'identifier'의 재정의,0
struct/union comparison illegal,struct/union 비교가 잘못되었습니다.,0
function 'identifier' already has a body,함수 'identifier'에 이미 본문이 있습니다.,0
'identifier': not in formal parameter list,'identifier': 공식 매개 변수 목록에 없음,0
'identifier': redefinition,'identifier': 재정의,0
'identifier': missing subscript,'identifier': 아래 첨자가 없습니다.,0
'operator': illegal for struct/class/union,'operator': 구조체/클래스/공용 구조체에 대해 불법,0
'identifier': 'type' too large,'identifier': 'type'이 너무 큼,0
function returns array,함수는 배열을 반환합니다.,0
function returns function,함수는 함수를 반환합니다.,0
'identifier' array element type cannot be function,'identifier' 배열 요소 형식은 함수가 될 수 없습니다.,0
'identifier1': cannot be initialized using address of automatic variable 'identifier2','identifier1': 자동 변수 'identifier2'의 주소를 사용하여 초기화할 수 없습니다.,0
label 'identifier' was undefined,레이블 'identifier'가 정의되지 않았습니다.,0
'function': actual parameter has type 'void': parameter number,'function': 실제 매개 변수의 형식이 'void': 매개 변수 번호,0
'identifier': A data member cannot be initialized with a parenthesized initializer,'identifier': 괄호가 있는 이니셜라이저를 사용하여 데이터 멤버를 초기화할 수 없습니다.,0
illegal initialization,불법 초기화,0
unexpected token after data member 'identifier',데이터 멤버 'identifier' 이후의 예기치 않은 토큰,0
initializer is not a constant,이니셜라이저가 상수가 아닙니다.,0
"UNKNOWN WARNING

Please choose the Technical Support command on the Visual C++

Help menu, or open the Technical Support help file for more information","알 수 없는 경고

Visual C++에서 기술 지원 명령을 선택하세요.

도움말 메뉴 또는 기술 지원 도움말 파일을 열어 자세한 내용을 확인하세요.",0
nonstandard extension 'single line comment' was used,비표준 확장 '한 줄 주석'이 사용되었습니다.,0
too many actual parameters for macro 'identifier','identifier' 매크로의 실제 매개 변수가 너무 많습니다.,0
not enough actual parameters for macro 'identifier','identifier' 매크로의 실제 매개 변수가 부족합니다.,0
'identifier': macro redefinition,'identifier': 매크로 재정의,0
#undef expected an identifier,#undef에 식별자가 필요합니다.,0
'function': must be 'attribute','function': 'attribute'여야 합니다.,0
'function': 'attribute' attribute ignored,'function': 'attribute' 특성이 무시됨,0
single-line comment contains line-continuation character,한 줄 주석에 줄 연속 문자가 포함되어 있습니다.,0
'function' undefined; assuming extern returning int,'function'은 정의되지 않았습니다. int를 반환하는 extern을 가정합니다.,0
'identifer': type of bit field must be integral,'identifer': 비트 필드의 형식은 정수여야 합니다.,0
'expression': signed/unsigned mismatch,'expression': 부호 있음/서명되지 않은 불일치,0
empty statement at global scope,전역 범위에 빈 문이 있습니다.,0
'function': too many actual parameters,'function': 실제 매개 변수가 너무 많습니다.,0
'function': pointer mismatch for actual parameter 'parameter number','function': 실제 매개 변수 '매개 변수 번호'에 대한 포인터 불일치,0
'function': based pointer passed to unprototyped function: parameter 'parameter_number','function': 형식화되지 않은 함수에 전달된 기반 포인터: 매개 변수 'parameter_number',0
'function': different types for formal and actual parameter 'parameter_number','function': 형식 및 실제 매개 변수 'parameter_number'에 대한 다양한 형식,0
'function': based pointer passed to function with variable arguments: parameter 'parameter_number','function': 변수 인수를 사용하여 함수에 전달된 기반 포인터: 매개 변수 'parameter_number',0
function declared with formal parameter list,정식 매개 변수 목록을 사용하여 함수를 선언했습니다.,0
function declared without formal parameter list,정식 매개 변수 목록을 사용하지 않고 함수를 선언했습니다.,0
formal parameter 'parameter_number' different from declaration,선언과 다른 형식 매개 변수 'parameter_number'입니다.,0
declared formal parameter list different from definition,정의와 다른 선언된 공식 매개 변수 목록,0
first formal parameter list longer than the second list,첫째 정식 매개 변수 목록이 둘째 목록보다 깁니다.,0
second formal parameter list longer than the first list,첫 번째 목록보다 긴 두 번째 공식 매개 변수 목록,0
formal parameter 'parameter_number' has different type when promoted,정식 매개 변수 'parameter_number'은 승격될 때 형식이 다릅니다.,0
'function' must return a value,'function'은 값을 반환해야 합니다.,0
sizeof returns 0,sizeof는 0을 반환합니다.,0
'function': no return value,'function': 반환 값 없음,0
unnamed 'type' as actual parameter,실제 매개 변수로 명명되지 않은 'type'입니다.,0
'modifier': illegal class modifier,'한정자': 잘못된 클래스 한정자,0
compiler limit: terminating browser output,컴파일러 제한: 브라우저 출력 종료,0
'identifier': has bad storage class,'identifier': 잘못된 스토리지 클래스가 있습니다.,0
'array': array bounds overflow,'array': 배열 경계 오버플로,0
'operator': 'identifier1' differs in levels of indirection from 'identifier2','operator': 'identifier1'은 'identifier2'의 간접 참조 수준이 다릅니다.,0
different array subscripts: 'identifier1' and 'identifier2',다른 배열 아래 첨자: 'identifier1' 및 'identifier2',0
compiler limit: terminating line number emission,컴파일러 제한: 줄 번호 배출 종료,0
