Error,Message
136,function member 'identifier' has no prototype
137,function 'identifier' is too complicated to inline
138,function definition must have explicit parameter list
139,function expected
140,functions can't return arrays or functions
141,GetExceptionCode() only valid in exception filter or handler
142,GetExceptionInformation() only valid in exception filter
143,global anonymous unions must be static
144,hex digit expected
145,identifier expected
146,identifier found in abstract declarator
147,identifier is longer than 254 chars
148,identifier or '(declarator) ' expected
149,illegal addressing mode
150,illegal cast
151,illegal character
152,illegal combination of types
153,illegal constuctor or destructor declaration
154,illegal operand
155,illegal operand types
156,illegal pointer arithmetic
157,illegal return type for operator->()
158,illegal type combination
159,illegal type for 'identifier' member
160,illegal type/size of operands for the identifier instruction
161,implied return at closing '}' does not return value
162,initialization of 'identifier' is skipped
163,initializer for static member must be outside of class def
164,initializer or function body for dllimport not allowed
165,integer constant expression expected
166,integral expression expected
167,internal error identifier number
168,invalid instruction set 'set' for memory model 'model'
169,invalid reference initialization
170,invalid storage class for friend
171,keyword not supported
172,last line in file had no \n
173,__leave must be within a __try block
174,line number expected
175,"linkage specs are ""C"""
176,local class cannot have static data member 'identifier'
177,long long not supported for ANSI or 16 bit compiles
178,lvalue expected
179,main()
180,maximum width of number bits exceeded
181,macro 'identifier' can't be #undef'd or #define'd
182,malformed template declaration
183,maximum length of macro text exceeded
184,max of number characters in string exceeded
185,member 'identifier' can't be same type as struct 'identifier'
186,member 'identifier' is const but there is no constructor
187,member 'identifier' of class 'identifier' is not accessible
188,member 'identifier' of class 'identifier' is private
189,missing '
190,missing decl-specifier-seq for declaration of 'identifier'
191,"must be void operator delete(void *[, size_t]);"
192,must use delete[] for arrays
193,need at least one external def
194,no constructor allowed for class 'identifier'
195,no definition for static 'identifier'
196,no identifier for declarator
197,no input file specified
198,no instance of class 'identifier'
199,no instance of class 'identifier' for member 'identifier'
200,no match for function 'identifier'
201,no return value for function 'identifier'
202,no tag name for struct or enum
203,non-const reference initialized to temporary
204,not a struct or union type
205,not an overloadable operator token
206,not in a switch statement
207,number 'number' is too large
208,number is not representable
209,object has 0 size
210,octal digit expected
211,one argument req'd for member initializer for 'identifier'
212,only classes and functions can be friends
213,only one identifier is allowed to appear in a declaration appearing in a conditional expression
214,operator overload must be a function
215,out of memory
216,overloaded function 'identifier' has different access levels
217,parameter list is out of context
218,parameter lists do not match for template 'identifier'
219,pascal string length number is longer than 255
220,pointer required before '->'
221,pointer required before '->' or after '*'
222,pointer to member expected to right of .* or ->*
223,possible extraneous ';'
224,possible unintended assignment
225,pragma cseg must be at global scope
226,precompiled header compiled with C instead of C++
227,precompiled header compiled with C++ instead of C
228,prefix opcode must be followed by an assembler opcode
229,premature end of source file
230,prototype for 'identifier' should be identifier
231,pure function must be virtual
232,qualifier or type in access declaration
233,recursive prototype
234,redefinition of default parameter
235,reference to 'identifier' caused a 386 instruction to be generated
236,reference must refer to same type or be const
237,return type cannot be specified for conversion function
238,returning address of automatic 'identifier'
239,segment size is number
240,should be number parameter(s) for operator
241,size of identifier is not known
242,size of type exceeds 64KB
243,statement expected
244,static function 'identifier' can't be virtual
245,static or non-member functions can't be const or volatile
246,static variables in inline functions not allowed
247,storage class for 'identifier' can't be both extern and inline
248,string expected
249,struct-declaration-list can't be empty
250,template-argument 'identifier' must be a type-argument
251,template-argument 'identifier' not used in function parameter types
252,too many errors
253,too many initializers
254,trailing parameters must have initializers
255,__try only valid for -mn memory model
256,type conversions must be members
257,type is too complex
258,type mismatch
259,type must be a pointer or a reference to a defined class or void*
260,"type must be void *operator new(size_t [,..]);"
261,type of 'identifier' does not match function prototype
262,types may not appear more than once in an exception specification
263,unable to open input file 'filename'
264,unable to open output file 'filename'
265,undefined escape sequence
266,undefined identifier 'identifier'
267,undefined label 'identifier'
268,undefined tag 'identifier'
269,undefined use of struct or union
270,unknown operand type for this floating point instruction
271,union members cannot have ctors or dtors
272,unrecognized pragma
273,unrecognized parameter 'identifier'
274,unrecognized preprocessing directive '#identifier'
275,unrecognized token
276,unsupported based type
277,unsupported __declspec type
278,unterminated macro argument
279,unterminated string
280,use delete[] rather than delete[expr]
281,using operator++() (or --) instead of missing operator++(int)
282,valid memory models are -m[tsmcrzlvfnpx]
283,value of expression is not used
284,variable 'identifier' used before set
285,vectors cannot have initializers
286,very large automatic
287,voids have no value
288,voids have no value
289,'while' expected
