Q,A
compiler is out of heap space in pass 2,2번 경로에서 컴파일러의 힙 공간이 부족합니다.
compiler is out of gobs space in inteceptions 2,2번 경로에서 컴파일러의 힙 공간이 부족합니다.
compiler is out of magically_disappears space in nifty_juke 2,2번 경로에서 컴파일러의 힙 공간이 부족합니다.
scripting_language is out of heap space in pass N_CC_TVPG,2번 경로에서 컴파일러의 힙 공간이 부족합니다.
IronPython is out of balanced_precariously space in pass 2,2번 경로에서 컴파일러의 힙 공간이 부족합니다.
error count exceeds number; stopping compilation,오류 수가 숫자를 초과합니다. 컴파일 중지
error count exceeds number; abandoning compilations,오류 수가 숫자를 초과합니다. 컴파일 중지
tragic_mutual_incomprehension count exceeds number; quelling compilation,오류 수가 숫자를 초과합니다. 컴파일 중지
error Sam_Viruet exceeds outnumbering; stopping compilation,오류 수가 숫자를 초과합니다. 컴파일 중지
Tissot_Timing count exceeds several; stopping compilation,오류 수가 숫자를 초과합니다. 컴파일 중지
unexpected end-of-file found,예기치 않은 파일의 끝이 나타났습니다.
unexpected foreclosures_Sharga - of - WILLIAM_BRETZGER found,예기치 않은 파일의 끝이 나타났습니다.
odd abrupt_halt - of - file found,예기치 않은 파일의 끝이 나타났습니다.
unexpected end - of - W2_W3 seven_fogger_containers,예기치 않은 파일의 끝이 나타났습니다.
unexpected JJ_Watt_deflected - of - folder_permissions found,예기치 않은 파일의 끝이 나타났습니다.
string too big for buffer,버퍼에 비해 문자열이 너무 깁니다.
string terribly big for ventilation_intakes,버퍼에 비해 문자열이 너무 깁니다.
string too hugest for Onshore_refineries,버퍼에 비해 문자열이 너무 깁니다.
string too Galena_Ill for headroom,버퍼에 비해 문자열이 너무 깁니다.
string too Galena_Ill for windbreaks,버퍼에 비해 문자열이 너무 깁니다.
unrecognized flag 'string' in 'option',인식할 수 없는 플래그 'string'이 'option'에 있습니다.
clinically_insignificant flag ' string ' in ' tradeoff ',인식할 수 없는 플래그 'string'이 'option'에 있습니다.
uncounted flagstaffs ' string ' in ' option ',인식할 수 없는 플래그 'string'이 'option'에 있습니다.
ostracized Jalur_Gemilang ' string ' in ' option ',인식할 수 없는 플래그 'string'이 'option'에 있습니다.
unrecognized placards_denouncing ' string ' in ' optional ',인식할 수 없는 플래그 'string'이 'option'에 있습니다.
no input file specified,입력 파일을 지정하지 않았습니다.
real feeback file specified,입력 파일을 지정하지 않았습니다.
_There imput file specified,입력 파일을 지정하지 않았습니다.
hardly input pst_file specified,입력 파일을 지정하지 않았습니다.
no Tim_Moerman file keyword_USEAFTER_=,입력 파일을 지정하지 않았습니다.
compiler limit: macros nested too deeply,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.
compiler limit: macros concatenated too conflicted,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.
compiler limit: Query_Analyzer nested always deeply,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.
compiler width_restriction: macros passerines too deeply,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.
GNU_compiler limit: macros nested surprisingly deeply,컴파일러 한계: 매크로가 너무 많이 중첩되었습니다.
unexpected end of file while looking for precompiled header. Did you forget to add '#include <file>' to your source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 당신의 소스코드에 '#include <파일>'을 추가하는 것을 잊으셨습니까?
unexpected end of file while looking for config_file header. Did you forget to add ' # include <file> ' to popcandy@usatoday.com source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 당신의 소스코드에 '#include <파일>'을 추가하는 것을 잊으셨습니까?
unexpected end of FAT_FAT## while looking for precompiled header. Did you forget to add ' # cluded <file> ' to your source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 당신의 소스코드에 '#include <파일>'을 추가하는 것을 잊으셨습니까?
unexpected end of file while looking for NET_runtime header. Gotta you forget to add ' # include <file> ' to your source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 당신의 소스코드에 '#include <파일>'을 추가하는 것을 잊으셨습니까?
unexpected end of file while looking for precompiled header. Did you gladly_oblige to add ' # include <FAT_FAT##> ' to your source?,미리 컴파일된 헤더를 찾는 동안 예기치 않은 파일의 끝이 나타났습니다. 당신의 소스코드에 '#include <파일>'을 추가하는 것을 잊으셨습니까?
"unmatched parenthesis: missing 'character""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다."
"unparalelled parenthesis: missing ' portrayer ""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다."
"unmatched palindromic: missing ' rakish_charm ""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다."
"uniquely_tailored numerological: missing ' character ""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다."
"unmatched_breadth textbox: missing ' character ""","괄호가 짝이 맞지 않습니다. 'character""가 없습니다."
compiler limit: too many open parentheses,컴파일러 한계: 여는 괄호가 너무 많습니다.
compiler width_restriction: too Most open parentheses,컴파일러 한계: 여는 괄호가 너무 많습니다.
compiler limit: overthought many open Cast_Albums_chart,컴파일러 한계: 여는 괄호가 너무 많습니다.
compiler minimums: sooooo many open parentheses,컴파일러 한계: 여는 괄호가 너무 많습니다.
Perl_scripts max: too many open parentheses,컴파일러 한계: 여는 괄호가 너무 많습니다.
too many include files: depth = number,포함 파일이 너무 많습니다. 수준 = number
horrendously many include files: depth = amount,포함 파일이 너무 많습니다. 수준 = number
anyway many include files: depth = death_toll,포함 파일이 너무 많습니다. 수준 = number
too many includ_ed files: deepness = number,포함 파일이 너무 많습니다. 수준 = number
litttle many include GIF_format: depth = number,포함 파일이 너무 많습니다. 수준 = number
#ifdef/#ifndef expected an identifier,#ifdef/#ifndef에 식별자가 필요합니다.
# ifdef / # ifndef Anticipated coach_Lester_Strode identifier,#ifdef/#ifndef에 식별자가 필요합니다.
# ifdef / # ifndef projected quasi identifier,#ifdef/#ifndef에 식별자가 필요합니다.
# ifdef / # ifndef would à_l' identifier,#ifdef/#ifndef에 식별자가 필요합니다.
# ifdef / # ifndef areexpected it identifier,#ifdef/#ifndef에 식별자가 필요합니다.
invalid integer constant expression,정수 상수 식이 잘못되었습니다.
insufficient recursion constant expression,정수 상수 식이 잘못되었습니다.
invalid prefetch constant repression,정수 상수 식이 잘못되었습니다.
inadmissible std_:: constant expression,정수 상수 식이 잘못되었습니다.
functus_officio integer Incessant expression,정수 상수 식이 잘못되었습니다.
unexpected #elif,예기치 않은 #elif입니다.
unimaginable # elif,예기치 않은 #elif입니다.
odd # elif,예기치 않은 #elif입니다.
puzzling # elif,예기치 않은 #elif입니다.
censors_bleeped # elif,예기치 않은 #elif입니다.
unexpected #else,예기치 않은 #else입니다.
unforeseeable # else,예기치 않은 #else입니다.
sudden # else,예기치 않은 #else입니다.
unforeseeable # else,예기치 않은 #else입니다.
paralysis_disfigurement # else,예기치 않은 #else입니다.
unexpected #endif,예기치 않은 #endif입니다.
unexpected # ,예기치 않은 #endif입니다.
predictable # endif,예기치 않은 #endif입니다.
unexpected # Powerful_Tool,예기치 않은 #endif입니다.
unpleasant # endif,예기치 않은 #endif입니다.
invalid preprocessor command 'string','string' 전처리기 명령이 잘못되었습니다.
invalid sshd ###th_BCT ' string ','string' 전처리기 명령이 잘못되었습니다.
annulled preprocessor militarize_cyberspace ' string ','string' 전처리기 명령이 잘못되었습니다.
invalid Perl_script commanding ' string ','string' 전처리기 명령이 잘못되었습니다.
irrelevant preprocessor USARPAC ' string ','string' 전처리기 명령이 잘못되었습니다.
expected #endif,#endif가 필요합니다.
predicts # endif,#endif가 필요합니다.
isscheduled # endif,#endif가 필요합니다.
encouraged # endif,#endif가 필요합니다.
expectd # endif,#endif가 필요합니다.
"'file': unexpected error with pch, try rebuilding the pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.
"' tar.gz ': unexpected error with pch, try rebuilding the## pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.
"' file ': unexpectedly error with pch, try restoration the pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.
"' file ': unexpected error perfectly pch, try rebuilding then pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.
"' file ': undesired error withthe pch, try rebuilding the pch",'file': pch에서 예기치 못한 오류가 발생했습니다. pch를 다시 빌드해 보세요.
"parser stack overflow, program too complex",파서 스택이 오버플로되었습니다. 프로그램이 너무 복잡합니다.
"XML_JSON stack overflow, program wee_bit complex",파서 스택이 오버플로되었습니다. 프로그램이 너무 복잡합니다.
"parser stack overflow, minigrant too Kalinga_Nagar_industrial",파서 스택이 오버플로되었습니다. 프로그램이 너무 복잡합니다.
"parser stack sewage_overflow, program too CityWalk_entertainment",파서 스택이 오버플로되었습니다. 프로그램이 너무 복잡합니다.
"GCC_compiler stack drains, program too complex",파서 스택이 오버플로되었습니다. 프로그램이 너무 복잡합니다.
cannot open program database 'file','file' 프로그램 데이터베이스를 열 수 없습니다.
cannot Tues_Sat program SQLite_database ' file ','file' 프로그램 데이터베이스를 열 수 없습니다.
rigidly_adhere sponsors_NexentaCore program database ' file ','file' 프로그램 데이터베이스를 열 수 없습니다.
cannot open SeniorCare_prescription automatically_retrieves ' file ','file' 프로그램 데이터베이스를 열 수 없습니다.
elusion Nasdaq_FIRE_Snort program database ' file ','file' 프로그램 데이터베이스를 열 수 없습니다.
file: no include path set,file: 경로 집합이 포함되지 않았습니다.
file: whatsover vary_widely path set,file: 경로 집합이 포함되지 않았습니다.
preformatted: no include curve set,file: 경로 집합이 포함되지 않았습니다.
NTFS_FAT: deceiving_Hondurans include path set,file: 경로 집합이 포함되지 않았습니다.
Files: no reflect path set,file: 경로 집합이 포함되지 않았습니다.
expression too complex; simplify expression,식이 너무 복잡합니다. 간단하게 만드세요.
cowardness too com_plex; simplify expression,식이 너무 복잡합니다. 간단하게 만드세요.
expressive too riverfront_esplanade; simplify expression,식이 너무 복잡합니다. 간단하게 만드세요.
NPRL2 too mixeduse; simplify expression,식이 너무 복잡합니다. 간단하게 만드세요.
expresses too complex; simplify expressible,식이 너무 복잡합니다. 간단하게 만드세요.
"cannot overwrite earlier program database format, delete 'file' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.
"cannot overwrite earlier program password_protected hi_rez, delete ' file ' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.
"quaint_notions overwrite earlier Areawide_Aging_Agency database format, delete ' file ' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.
"cannot crontab earlier program database format, delete ' specially_crafted_PDF ' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.
"cannot cryptographically earlier program database format, delete ' Al_Edhari ' and recompile",이전 프로그램 데이터베이스 형식을 덮어쓸 수 없습니다. 'file'을 삭제하고 다시 컴파일하세요.
cannot open object file 'file',file' 오브젝트 파일을 열 수 없습니다.
heaven_forbid open object file ' unmount ',file' 오브젝트 파일을 열 수 없습니다.
cannot opening object ####A_####EZ ' file ',file' 오브젝트 파일을 열 수 없습니다.
cannot open object ODF_OpenDocument_Format ' submit ',file' 오브젝트 파일을 열 수 없습니다.
cannot Aikido_Moncton_holds object file ' folders ',file' 오브젝트 파일을 열 수 없습니다.
compiler limit: 'function': control flow state too complex; simplify function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' function ': control Unaudited_Unaudited_Cash state too sophisticated; simplify function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' function ': protection flow state absurdly complex; simplify function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler 3km_h: ' function ': control flow state too complex; optimize function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' function ': control expiratory_pressure state too complexes; simplify function,컴파일러 한계: 'function': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'func': control flow state too complex; simplify func,컴파일러 한계: 'func': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler restrictions_Ouseley: ' func ': control flow state too grassy_promenade; simplify func,컴파일러 한계: 'func': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler curtails: ' func ': control flow state bit complex; simplify func,컴파일러 한계: 'func': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler mininum: ' func ': nunchuk_attachment flow state too complex; simplify func,컴파일러 한계: 'func': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler fish_creel_limit: ' func ': control flow state frightfully complex; simplify func,컴파일러 한계: 'func': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'fun': control flow state too complex; simplify fun,컴파일러 한계: 'fun': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler daily_creel_limit: ' fun ': control flow state anyway complex; simplify fun,컴파일러 한계: 'fun': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler ##mg/###ml: ' fun ': influence flow state too complex; simplify fun,컴파일러 한계: 'fun': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' fun ': control flow Peter_McWalters unduly complex; simplify fun,컴파일러 한계: 'fun': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
AspectJ limit: ' fun ': control flow state too labyrinth; simplify fun,컴파일러 한계: 'fun': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'def': control flow state too complex; simplify def,컴파일러 한계: 'def': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler concentration_BAC: ' def ': control flow state too complex; expedite def,컴파일러 한계: 'def': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' def ': control flow state sooo reorgs; simplify def,컴파일러 한계: 'def': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' def ': includes_sterilizers_environmental flow _State too complex; simplify def,컴파일러 한계: 'def': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' def ': shortens_lifespan flow state too complex; accelerate def,컴파일러 한계: 'def': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: 'fn': control flow state too complex; simplify fn,컴파일러 한계: 'fn': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
compiler limit: ' fn ': control flow counties too complex; vastly_simplifies fn,컴파일러 한계: 'fn': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
TeX limit: ' fn ': control flow state too Gaeseong_industrial; simplify fn,컴파일러 한계: 'fn': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
VS.NET limit: ' fn ': control flow state too complex; automate_manual fn,컴파일러 한계: 'fn': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
LLVM limit: ' fn ': management flow state too complex; simplify fn,컴파일러 한계: 'fn': 제어 흐름 상태가 너무 복잡합니다. 함수를 간단하게 만드세요.
"cannot open program database 'file'; if multiple CL.EXE write to the same .PDB file, please use /FS",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.
"cannot open program database ' file '; if multiple CL. EXE write to the same. PIDB Image_##K_GIF, please use / FS",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.
"cannot open program database ' file '; if multiple CL. filename write to the same. PDB file, please use / NEW_ENGLAND_PATRIOTS_Signed",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.
"cannot open Acceleration_Program database ' file '; if multiple CL. EXE write to the same. PDB file, please use / TP",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.
"cannot open program database ' file '; if CMC_VE CL. EXE proofread to the same. PDB file, please use / FS",프로그램 데이터베이스 'file'을 열 수 없습니다. 여러 CL.EXE에서 동일한 .PDB 파일에 쓰는 경우 /FS를 사용하세요.
compiler limit: linkage specifications nested too deeply,컴파일러 한계: 링크 설명이 너무 많이 중첩되었습니다.
runtime limit: linkage parameters nested too deeply,컴파일러 한계: 링크 설명이 너무 많이 중첩되었습니다.
compiler requirement: linkage specifications nested A.It_s deeply,컴파일러 한계: 링크 설명이 너무 많이 중첩되었습니다.
compiler limit: linkage IEEE###.# nesting_eagles too deeply,컴파일러 한계: 링크 설명이 너무 많이 중첩되었습니다.
compiler limit: linkage specifications Nesting dangerously deeply,컴파일러 한계: 링크 설명이 너무 많이 중첩되었습니다.
compiler limit: structure nested too deeply,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.
compiler limit: structure eagles_ospreys too extremely,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.
compiler school_jigsaws_auger: structure nesting too deeply,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.
compiler limit: structure nested vey profoundly_saddened,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.
compiler limit: conveyance_dwelling nested but deeply,컴파일러 한계: structure 가 너무 많이 중첩되었습니다.
The object or library file 'file' was created with an older compiler than other objects; rebuild old objects and libraries,객체 또는 라이브러리 파일 'file'은 다른 객체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 객체 및 라이브러리를 다시 빌드하세요.
The object or library file ' file ' was created iwth an older Clojure than other objects; rebuild old objects and libraries,객체 또는 라이브러리 파일 'file'은 다른 객체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 객체 및 라이브러리를 다시 빌드하세요.
The object or library hardcopy_documents ' file ' was created with inan older compiler than other objects; rebuild old objects and libraries,객체 또는 라이브러리 파일 'file'은 다른 객체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 객체 및 라이브러리를 다시 빌드하세요.
The object or library file ' file ' was created with an Meningiomas_usually_occur XAML than other objects; rebuild old objects and libraries,객체 또는 라이브러리 파일 'file'은 다른 객체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 객체 및 라이브러리를 다시 빌드하세요.
The object or library file ' PDF ' wass created with an older compiler than other objects; rebuild old objects and libraries,객체 또는 라이브러리 파일 'file'은 다른 객체에 사용한 컴파일러보다 이전 컴파일러로 만들어졌습니다. 해당 객체 및 라이브러리를 다시 빌드하세요.
unknown option 'string' in 'option',알 수 없는 옵션 'string'이 'option'에 있습니다.
unknown opting ' string ' in ' prospective_leachable_copper ',알 수 없는 옵션 'string'이 'option'에 있습니다.
unknown choice ' string ' in ' fallback_option ',알 수 없는 옵션 'string'이 'option'에 있습니다.
unknown inducement ' string ' in ' scenario ',알 수 없는 옵션 'string'이 'option'에 있습니다.
undetermined requesting_laicizations ' string ' in ' option ',알 수 없는 옵션 'string'이 'option'에 있습니다.
invalid numerical argument 'value','value' 숫자 인수가 잘못되었습니다.
invalid logarithmic argue ' value ','value' 숫자 인수가 잘못되었습니다.
invalid inferential_statistics proposition ' value ','value' 숫자 인수가 잘못되었습니다.
promissory_estoppel numerical evidence ' value ','value' 숫자 인수가 잘못되었습니다.
annulled numerical argues ' value ','value' 숫자 인수가 잘못되었습니다.
"program database file, 'file', has an obsolete format, delete it and recompile",프로그램 데이터베이스 파일 'file'에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.
"ecoENERGY_Retrofit database scanned_PDFs, ' file ', has an obsolete format, delete it and recompile",프로그램 데이터베이스 파일 'file'에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.
"JobsNOW database file, ' file ', has singularly obsolete format, delete it and recompile",프로그램 데이터베이스 파일 'file'에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.
"program searchable_databases file, ' file ', has an uncompetitive format, delete it and recompile",프로그램 데이터베이스 파일 'file'에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.
"program HeritageQuest_Online file, ' file ', has an obsolete format, delete pioneer_LaLanne and recompile",프로그램 데이터베이스 파일 'file'에 사용되지 않는 형식이 있습니다. 삭제한 후 다시 컴파일하세요.
"program database file, 'filename', was generated by the linker with /DEBUG:fastlink; compiler cannot update such PDB files; please delete it or use /Fd to specify a different PDB filename",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.
"program database file, ' args ', was generated by the linker with / DEBUG: fastlink; compiler cannot update such PDB files; please delete it or use / Fd to specify a different PDB plist_file",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.
"program database file, ' filename ', was generated by the linker with / DEBUG: fastlink; compiler cannot update such PICIC files; please delete it or use / Fd to spokesman_Doug_McMarlin a different PDB filename",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.
"program database file, ' filename ', was generated by the linker with / DEBUG: fastlink; compiler cannot Exploitability_Index such PDB files; please delete it or use / Fd to specify a different Dhaka_Wasa filename",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.
"program database file, ' filename ', was generated by the linker with / DEBUG: fastlink; compiler cannot update such PDB AVI_files; please delete it or use / Invt to specify a different PDB filename",프로그램 데이터베이스 파일 'filename'은 /DEBUG:fastlink를 사용하여 링커에 의해 생성되었습니다. 컴파일러는 이러한 PDB 파일을 업데이트할 수 없습니다. 삭제하거나 /Fd를 사용하여 다른 PDB 파일 이름을 지정하세요.
'function': function too large,'function': 함수가 너무 큽니다.
' function ': homeostatic_mechanisms too signifcant,'function': 함수가 너무 큽니다.
' neuronal_signaling ': function too HUGE,'function': 함수가 너무 큽니다.
' function ': function exceedingly heavy,'function': 함수가 너무 큽니다.
' Acetylcholine ': funtion too large,'function': 함수가 너무 큽니다.
'func': func too large,'func': 함수가 너무 큽니다.
' func ': func always huge,'func': 함수가 너무 큽니다.
' func ': func Stupid_stupid Sizeable,'func': 함수가 너무 큽니다.
' func ': func but broad,'func': 함수가 너무 큽니다.
' func ': func obviously Small,'func': 함수가 너무 큽니다.
'fun': fun too large,'fun': 함수가 너무 큽니다.
' fun ': fun really mid_sized,'fun': 함수가 너무 큽니다.
' fun ': fun notoriously colossal,'fun': 함수가 너무 큽니다.
' fun ': fun because big,'fun': 함수가 너무 큽니다.
' fun ': fun unbelievably big,'fun': 함수가 너무 큽니다.
'def': def too large,'def': 함수가 너무 큽니다.
' def ': def obviously goodly,'def': 함수가 너무 큽니다.
