Q,A
'func': func too large,'func': 함수가 너무 큽니다.
'fun': fun too large,'fun': 함수가 너무 큽니다.
'def': def too large,'def': 함수가 너무 큽니다.
'fn': fn too large,'fn': 함수가 너무 큽니다.
compiler limit: initializers nested too deeply,컴파일러 한계: 이니셜라이저가 너무 많이 중첩되었습니다.
compiler limit: out of keys,컴파일러 한계: 키가 부족합니다.
unexpected end of file in macro expansion,매크로 확장에서 예기치 않은 파일의 끝이 나타났습니다.
compiler is out of heap space,컴파일러의 힙 공간이 부족합니다.
compiler limit: blocks nested too deeply,컴파일러 한계: 블록이 너무 많이 중첩되었습니다.
compiler limit: compiler stack overflow,컴파일러 한계: 컴파일러 스택 오버플로입니다.
compiler limit: token overflowed internal buffer,컴파일러 한계: 내부 버퍼에서 토큰 오버플로가 발생했습니다.
compiler limit: out of tags,컴파일러 한계: 태그가 부족합니다.
compiler limit: 64K limit on size of a type record has been exceeded,컴파일러 한계: 형식 레코드 크기의 64K 한도를 초과했습니다.
cannot open file 'file','file' 파일을 열 수 없습니다.
cannot read compiler command line,컴파일러 명령줄을 읽을 수 없습니다.
mismatched #if/#endif pair in file 'file','file' 파일에서 #if/#endif 쌍이 짝이 맞지 않습니다.
unexpected end of file found in comment,주석에서 예기치 않은 파일의 끝이 나타났습니다.
"Internal error involving incremental compilation(compiler file 'file', line number)","증분 컴파일과 관련된 내부 오류입니다(컴파일러 파일 'file', 줄 number)."
'IDB' is illegal extension for PDB file: file,'IDB'는 PDB 파일 file에 적합한 확장명이 아닙니다.
the left token was unmatched at the end of the file,파일 끝에 왼쪽 토큰이 일치하지 않습니다.
compiler limit: internal heap limit reached; use /Zm to specify a higher limit,컴파일러 한계: 내부 힙 한계에 도달했습니다. /Zm을 사용하여 한계를 더 높게 지정하세요.
compiler limit: cannot have more than number command line options,컴파일러 한계: 명령줄 옵션을 number보다 많이 지정할 수 없습니다.
compiler limit: PCH file size limit exceeded,컴파일러 한계: PCH 파일 크기 한계를 초과했습니다.
compiler limit: command line option exceeded limit of number characters,컴파일러 한계: 명령줄 옵션이 number 특성의 한계를 초과했습니다.
'file': file name too long,'file': 파일 이름이 너무 깁니다.
cannot close type file: 'file': message,type 파일을 닫을 수 없습니다.'file': message
cannot open type file: 'file': message,type 파일을 열 수 없습니다. 'file': message
cannot read type file: 'file': message,type 파일을 읽을 수 없습니다. 'file': message
cannot write type file: 'file': message,type 파일에 쓸 수 없습니다. 'file': message
cannot seek type file: 'file': message,type 파일을 검색할 수 없습니다. 'file': message
cannot tell type file: 'file': message,type 파일에 알릴 수 없습니다. 'file': message
cannot flush type file: 'file': message,type 파일을 플러시할 수 없습니다. 'file': message
cannot truncate type file: 'file': message,type 파일을 자를 수 없습니다. 'file': message
"PDB API call failed, error code 'code': 'message'",PDB API를 호출하지 못했습니다. 오류 코드 'code': 'message'
compiler limit: string exceeds number bytes in length,컴파일러 한계: 문자열 길이가 number 바이트를 초과합니다.
Edit and Continue does not support changes to data types; build required,편집하며 계속하기는 데이터 형식에 대한 변경 내용은 지원하지 않습니다. 빌드해야 합니다.
API call 'function' failed 'HRESULT' : 'description','function' API 호출이 'HRESULT'에서 실패했습니다 : 'description'
API call 'func' failed 'HRESULT' : 'description','func' API 호출이 'HRESULT'에서 실패했습니다 : 'description'
API call 'fun' failed 'HRESULT' : 'description','fun' API 호출이 'HRESULT'에서 실패했습니다 : 'description'
API call 'def' failed 'HRESULT' : 'description','def' API 호출이 'HRESULT'에서 실패했습니다 : 'description'
API call 'fn' failed 'HRESULT' : 'description','fn' API 호출이 'HRESULT'에서 실패했습니다 : 'description'
'-Zmnumber': command line option is inconsistent with value used to build precompiled header ('-Zmnumber'),'-Zmnumber': 명령줄 옵션이 미리 컴파일된 헤더('-Zmnumber')를 빌드하는 데 사용한 값과 일치하지 않습니다.
Version mismatch with Edit and Continue engine,버전이 편집하며 계속하기 엔진과 일치하지 않습니다.
Edit and Continue engine terminating compile,편집하며 계속하기 엔진이 컴파일을 종료하고 있습니다.
unable to initialize OLE: error,OLE를 초기화할 수 없습니다. error
cannot create handler for attribute 'identifier','identifier' 특성에 대한 처리기를 만들 수 없습니다.
cannot create handler for attribute tmp,tmp 특성에 대한 처리기를 만들 수 없습니다.
cannot create handler for attribute a,a 특성에 대한 처리기를 만들 수 없습니다.
cannot create handler for attribute i,i 특성에 대한 처리기를 만들 수 없습니다.
unable to initialize: error,초기화할 수 없습니다. error
fatal error importing progid: 'message',progid를 가져오는 중 오류가 발생했습니다. 'message'
fatal error importing libid: 'message',libid를 가져오는 중 오류가 발생했습니다. 'message'
message: error,message: error
could not find assembly 'assembly': please specify the assembly search path using /AI or by setting the LIBPATH environment variable,'assembly' 어셈블리를 찾을 수 없습니다. /AI를 사용하거나 LIBPATH 환경 변수를 설정하여 어셈블리 검색 경로를 지정하세요.
unable to find DLL: 'file','file' DLL을 찾을 수 없습니다.
unable to find 'symbol' in DLL 'file','symbol'을 DLL 'file'에서 찾을 수 없습니다.
too many nested template/generic definitions,템플릿/제네릭 정의가 너무 많이 중첩되었습니다.
too many template/generic parameters,템플릿/제네릭 매개 변수가 너무 많습니다.
"compiler limit: 'number' too many macro arguments, only number allowed",컴파일러 제한: 'number'에 매크로 인수가 너무 많고 숫자만 허용됩니다.
#using failed on 'file',#using이 'file'에서 실패했습니다.
'file': WinRT does not support #using of a managed assembly,'file': WinRT는 관리되는 어셈블리의 #using을 지원하지 않습니다.
call to GetProcAddress failed for 'function','function'에 대한 GetProcAddress 호출이 실패했습니다.
call to GetProcAddress failed for 'func','func'에 대한 GetProcAddress 호출이 실패했습니다.
call to GetProcAddress failed for 'fun','fun'에 대한 GetProcAddress 호출이 실패했습니다.
call to GetProcAddress failed for 'def','def'에 대한 GetProcAddress 호출이 실패했습니다.
call to GetProcAddress failed for 'fn','fn'에 대한 GetProcAddress 호출이 실패했습니다.
call to CryptoAPI failed,CryptoAPI에 대한 호출이 실패했습니다.
automatic allocation exceeds size,자동 할당이 size를 초과합니다.
number of sections exceeded object file format limit: compile with /bigobj,섹션 수가 오브젝트 파일 형식 한도를 초과했습니다. /bigobj를 사용하여 컴파일하세요.
#error: message,#error: 메시지
managed targeted code requires a '/clr' option,관리되는 대상 코드에는 '/clr' 옵션을 사용해야 합니다.
'file' can only be imported at global scope,전역 범위에서만 'file'을 가져올 수 있습니다.
#using failed on 'file',#using이 'file'에서 실패했습니다.
an error expected in file(line) not reached,file(line)의 예상 오류에 도달하지 못했습니다.
use of /Yu and /Yc on the same command line is incompatible with the /clr option,같은 명령줄에서 /Yu 및 /Yc를 사용하면 /clr 옵션과 호환되지 않습니다.
'identifier' : identifier found in type library 'typelib' is not a valid C++ identifier,'identifier' : 형식 라이브러리 'typelib'의 이 식별자는 올바른 C++ 식별자가 아닙니다.
tmp : identifier found in type library 'typelib' is not a valid C++ identifier,tmp : 형식 라이브러리 'typelib'의 이 식별자는 올바른 C++ 식별자가 아닙니다.
a : identifier found in type library 'typelib' is not a valid C++ identifier,a : 형식 라이브러리 'typelib'의 이 식별자는 올바른 C++ 식별자가 아닙니다.
i : identifier found in type library 'typelib' is not a valid C++ identifier,i : 형식 라이브러리 'typelib'의 이 식별자는 올바른 C++ 식별자가 아닙니다.
cannot reference 'file' as the program has already referenced 'file','file'을 참조할 수 없습니다. 프로그램에서 이미 'file'을 참조했습니다.
unable to continue after syntax error in class template definition,클래스 템플릿 정의에 구문 오류가 있어서 계속할 수 없습니다.
recursive type or function dependency context too complex,재귀 형식 또는 함수 종속성 맥락이 너무 복잡합니다.
recursive type or func dependency context too complex,재귀 형식 또는 함수 종속성 맥락이 너무 복잡합니다.
recursive type or fun dependency context too complex,재귀 형식 또는 함수 종속성 맥락이 너무 복잡합니다.
recursive type or def dependency context too complex,재귀 형식 또는 함수 종속성 맥락이 너무 복잡합니다.
recursive type or fn dependency context too complex,재귀 형식 또는 함수 종속성 맥락이 너무 복잡합니다.
Generics are not supported by the version of the runtime installed,설치된 런타임 버전에서는 제네릭이 지원되지 않습니다.
Per-appdomain data is not supported by the version of the runtime installed,설치된 런타임 버전에서는 appdomain별 데이터가 지원되지 않습니다.
Managed templates not supported by the version of the runtime installed,설치된 런타임 버전에서는 관리되는 템플릿이 지원되지 않습니다.
Allocating reference classes on the stack is not supported by the version of the runtime installed,설치된 런타임 버전에서는 참조 클래스를 스택에 할당할 수 없습니다.
Friend assemblies not supported by the version of the runtime installed,설치된 런타임 버전에서는 friend 어셈블리가 지원되지 않습니다.
/clr:pure and /clr:safe are not supported by the version of the runtime installed,설치된 런타임 버전에서는 /clr:pure 및 /clr:safe가 지원되지 않습니다.
The TypeForwardedTo Custom Attribute is not supported by the version of the runtime installed,설치된 런타임 버전에서는 TypeForwardedTo 사용자 지정 특성이 지원되지 않습니다.
error accessing program database file (message),file (message) 프로그램 데이터베이스에 액세스하는 동안 오류가 발생했습니다.
"error accessing program database file, invalid format, please delete and rebuild",file프로그램 데이터베이스에 액세스하는 동안 오류가 발생했습니다. 형식이 잘못되었습니다. 삭제한 다음 다시 빌드하세요.
no profile data for module 'module' in profile database 'file','module' 모듈의 프로필 데이터가 'file' 프로필 데이터베이스에 없습니다.
profile database 'file' is for a different architecture,'file' 프로필 데이터베이스는 다른 아키텍처용입니다.
last change to profile data base 'file' was not optimization analysis; optimization decisions may be out of date,'file' 프로필 데이터베이스의 마지막 변경 내용이 최적화 분석이 아닙니다. 최적화 결정 기간이 만료되었습니다.
program has been edited since profile data was collected,프로필 데이터가 수집된 이후 프로그램이 편집되었습니다.
file: linking assemblies is not supported,file: 링크 어셈블리는 지원되지 않습니다.
Mismatched versions of C2.DLL and pgodbver.DLL,C2.DLL과 pgodbver.DLL의 버전이 일치하지 않습니다.
profile guided optimizations are not available with OpenMP,OpenMP에서는 프로필 기반 최적화를 사용할 수 없습니다.
COFF format cannot statically initialize 'symbol' with number byte(s) of an address,COFF 형식은 number 바이트의 주소를 사용하여 'symbol'을 정적으로 초기화할 수 없습니다.
Too many conditional branches in function. Simplify or refactor source code.,함수에 조건부 분기가 너무 많습니다. 소스 코드를 단순화하거나 리팩터링하세요.
Too many conditional branches in func. Simplify or refactor source code.,함수에 조건부 분기가 너무 많습니다. 소스 코드를 단순화하거나 리팩터링하세요.
Too many conditional branches in fun. Simplify or refactor source code.,함수에 조건부 분기가 너무 많습니다. 소스 코드를 단순화하거나 리팩터링하세요.
Too many conditional branches in def. Simplify or refactor source code.,함수에 조건부 분기가 너무 많습니다. 소스 코드를 단순화하거나 리팩터링하세요.
Too many conditional branches in fn. Simplify or refactor source code.,함수에 조건부 분기가 너무 많습니다. 소스 코드를 단순화하거나 리팩터링하세요.
compiler limit: type blocks may not be nested deeper than number levels,컴파일러 한도: type 블록은 number 보다 깊은 수준으로 중첩될 수 없습니다.
error loading dll 'file': dll not found,'file' dll을 로드하는 동안 오류가 발생했습니다. dll을 찾을 수 없습니다.
error loading dll 'file': incompatible version,'file' dll을 로드하는 동안 오류가 발생했습니다. 호환되지 않는 버전입니다.
Invalid or corrupt MSIL in function 'function' from module 'module','module' 모듈의 'function' 함수에 잘못되었거나 손상된 MSIL이 있습니다.
Invalid or corrupt MSIL in func 'func' from module 'module','module' 모듈의 'func' 함수에 잘못되었거나 손상된 MSIL이 있습니다.
Invalid or corrupt MSIL in fun 'fun' from module 'module','module' 모듈의 'fun' 함수에 잘못되었거나 손상된 MSIL이 있습니다.
Invalid or corrupt MSIL in def 'def' from module 'module','module' 모듈의 'def' 함수에 잘못되었거나 손상된 MSIL이 있습니다.
Invalid or corrupt MSIL in fn 'fn' from module 'module','module' 모듈의 'fn' 함수에 잘못되었거나 손상된 MSIL이 있습니다.
metadata operation failed: runtime not installed or version mismatch,메타데이터 작업이 실패했습니다. 런타임이 설치되지 않았거나 버전이 일치하지 않습니다.
the PCH file 'file' has been rebuilt since 'obj' was generated. Please rebuild this object,file' PCH 파일이 'obj'가 생성된 후 다시 빌드되었습니다. 이 갹체를 다시 빌드하세요.
compiler option /GL is incompatible with the installed version of common language runtime,컴파일러 옵션 /GL은 설치된 공용 언어 런타임 버전과 호환되지 않습니다.
Incorrect setting for PGO_PATH_TRANSLATION when linking 'file','file'을 링크할 때 PGO_PATH_TRANSLATION의 설정이 잘못되었습니다.
Failed to generate debug information when compiling the call graph for the concurrency::parallel_for_each at: 'callsite','callsite'에서 concurrency::parallel_for_each에 대해 호출 그래프를 컴파일하는 동안 디버그 정보를 생성하지 못했습니다.
unrecoverable parser look-ahead error,복구할 수 없는 파서 미리 보기 오류입니다.
unrecoverable block scoping error,복구할 수 없는 블록 범위 지정 오류입니다.
compiler limit: 'function': more than 65535 argument bytes,"컴파일러 한계: 'function': 인수가 65,535 바이트가 넘습니다."
compiler limit: 'func': more than 65535 argument bytes,"컴파일러 한계: 'func': 인수가 65,535 바이트가 넘습니다."
compiler limit: 'fun': more than 65535 argument bytes,"컴파일러 한계: 'fun': 인수가 65,535 바이트가 넘습니다."
compiler limit: 'def': more than 65535 argument bytes,"컴파일러 한계: 'def': 인수가 65,535 바이트가 넘습니다."
compiler limit: 'fn': more than 65535 argument bytes,"컴파일러 한계: 'fn': 인수가 65,535 바이트가 넘습니다."
compiler limit: too many exception handler states in function 'function'; simplify function,컴파일러 한계: 'function' 함수에 예외 처리기 상태가 너무 많습니다. 함수를 간단하게 만드세요.
compiler limit: too many exception handler states in func 'func'; simplify func,컴파일러 한계: 'func' 함수에 예외 처리기 상태가 너무 많습니다. 함수를 간단하게 만드세요.
compiler limit: too many exception handler states in fun 'fun'; simplify fun,컴파일러 한계: 'fun' 함수에 예외 처리기 상태가 너무 많습니다. 함수를 간단하게 만드세요.
compiler limit: too many exception handler states in def 'def'; simplify def,컴파일러 한계: 'def' 함수에 예외 처리기 상태가 너무 많습니다. 함수를 간단하게 만드세요.
compiler limit: too many exception handler states in fn 'fn'; simplify fn,컴파일러 한계: 'fn' 함수에 예외 처리기 상태가 너무 많습니다. 함수를 간단하게 만드세요.
Cannot open language resource clui.dll,언어 리소스 clui.dll을 열 수 없습니다.
unsupported inline assembly opcode,지원되지 않는 인라인 어셈블리 opcode입니다.
unsupported intrinsic,지원되지 않는 내장 함수입니다.
inline assembly branch target out of range by number bytes,인라인 어셈블리 분기 대상이 number 바이트만큼 범위를 벗어났습니다.
'file' is not a valid precompiled header file,'file'은 올바른 미리 컴파일된 헤더 파일이 아닙니다.
"'file' precompiled header file is from a previous version of the compiler, or the precompiled header is C++ and you are using it from C (or vice versa)","'file' 미리 컴파일된 헤더 파일이 이전 버전의 컴파일러에서 만들어졌거나, 미리 컴파일된 헤더가 C++인데 C에서 사용하고 있거나 그 반대의 경우입니다."
cannot overwrite information formed during creation of the precompiled header in object file: 'file',미리 컴파일된 헤더를 오브젝트 파일 'file'에 만드는 동안 구성된 정보를 덮어쓸 수 없습니다.
Il mismatch between 'tool' version 'number' and 'tool' version 'number','tool' 버전 'number'와 'tool' 버전 'number' 사이에 Il이 일치하지 않습니다.
Internal memory management error,내부 메모리 관리 오류입니다.
Program database manager mismatch; please check your installation,프로그램 데이터베이스 관리자가 일치하지 않습니다. 설치를 확인하세요.
unable to recover from previous error(s); stopping compilation,이전 오류를 복구할 수 없습니다. 컴파일이 중지됩니다.
bad provider interaction: 'file',잘못된 공급자 상호 작용: 'file'
Front end and back end not compatible (must target same processor).,프런트 엔드와 백 엔드가 호환되지 않습니다. 같은 프로세서를 대상으로 해야 합니다.
"UNKNOWN ERROR Please choose the Technical Support command on the Visual C++ Help menu, or open the Technical Support help file for more information","알 수 없는 오류, Visual C++ 도움말 메뉴에서 기술 지원 명령을 선택하거나 기술 지원 도움말 파일을 열어 자세한 내용을 확인하세요."
newline in constant,상수 안에 개행('\n')이 있습니다.
invalid wide-character constant,잘못된 와이드 문자 상수
expected 'defined id','정의된 ID'가 필요합니다.
expected 'defined(id)',정의된(ID)'가 필요합니다.
"#line expected a line number, found 'token'",#line '토큰'을 찾은 줄 번호가 필요합니다.
"'directive': expected a filename, found 'token'",'directive': 'token'을 찾은 파일 이름이 필요합니다.
#define syntax,#define 구문
'character': unexpected in macro definition,character': 매크로 정의에서 예기치 않은 경우
reuse of macro formal 'identifier',매크로 형식 'identifier'를 재사용
reuse of macro formal tmp,매크로 형식 tmp를 재사용
reuse of macro formal a,매크로 형식 a를 재사용
reuse of macro formal i,매크로 형식 i를 재사용
'character': unexpected in macro formal parameter list,character': 매크로 정식 매개 변수 목록에서 예기치 않은 경우
'identifier': 'type' type redefinition,'identifier': 'type' 형식 재정의
tmp: 'type' type redefinition,tmp: 'type' 형식 재정의
a: 'type' type redefinition,a: 'type' 형식 재정의
i: 'type' type redefinition,i: 'type' 형식 재정의
missing name following '<','<' 뒤에 이름이 없습니다.
missing '>','>'이(가) 없습니다.
preprocessor command must start as first nonwhite space,전처리기 명령은 첫 번째 공백인 아닌 공간으로 시작해야 합니다.
too many characters in constant,상수에 너무 많은 문자
C requires that a struct or union has at least one member,C를 사용하려면 구조체 또는 공용 구조체에 하나 이상의 멤버가 있어야 합니다.
illegal escape sequence,잘못된 이스케이프 시퀀스
unknown character '0xvalue',알 수 없는 문자 '0xvalue'
"expected preprocessor directive, found 'character'",'character'를 찾은 전처리기 지시문이 필요합니다.
'member': 'class' member redefinition,'member': 'class' 멤버 재정의
"expected exponent value, not 'character'",character'가 아닌 예상 지수 값이 필요합니다.
'number': too big for character,number': 문자에 비해 너무 큽니다.
identifier': Alignment (number1) different from prior declaration (number2),identifier': 정렬(number1)이 이전 선언(number2)과 다릅니다.
"'alignas' attribute applies to variables, data members and tag types only","'alignas' 특성은 변수, 데이터 멤버 및 태그 형식에만 적용됩니다."
invalid or corrupted binary module interface file: 'filename',잘못되었거나 손상된 이진 모듈 인터페이스 파일: 'filename'
"string too big, trailing characters truncated",문자열이 너무 크고 후행 문자가 잘렸습니다.
use of undefined type 'type',정의되지 않은 형식 'type'의 사용
struct/union member must be inside a struct/union,구조체/공용체 멤버는 구조체/공용체 안에 있어야 합니다.
left of 'token' specifies undefined class/struct/interface 'identifier','token'의 왼쪽은 정의되지 않은 클래스/구조체/인터페이스 'identifier'를 지정합니다.
left of 'token' specifies undefined class/struct/interface tmp,'token'의 왼쪽은 정의되지 않은 클래스/구조체/인터페이스 tmp를 지정합니다.
left of 'token' specifies undefined class/struct/interface a,'token'의 왼쪽은 정의되지 않은 클래스/구조체/인터페이스 a를 지정합니다.
left of 'token' specifies undefined class/struct/interface i,'token'의 왼쪽은 정의되지 않은 클래스/구조체/인터페이스 i를 지정합니다.
a destructor with 'protected private' accessibility cannot be a member of a class declared 'sealed','protected private' 접근성을 가진 소멸자는 'sealed'로 선언된 클래스의 멤버일 수 없습니다.
a virtual destructor with 'accessibility' accessibility is not allowed for this type,Accessibility' 액세스 권한이 있는 가상 소멸자는 이 유형에 허용되지 않습니다.
'identifier': function cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
'identifier': func cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
'identifier': fun cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
'identifier': def cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
'identifier': fn cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
tmp: function cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
a: function cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
i: function cannot be member of struct/union 'type',identifier': 함수는 구조체/공용체 'type'의 멤버일 수 없습니다.
'identifier': bit field cannot have indirection,'identifier': 비트 필드에 간접 참조가 있을 수 없습니다.
tmp: bit field cannot have indirection,tmp: 비트 필드에 간접 참조가 있을 수 없습니다.
a: bit field cannot have indirection,a: 비트 필드에 간접 참조가 있을 수 없습니다.
i: bit field cannot have indirection,i: 비트 필드에 간접 참조가 있을 수 없습니다.
'identifier': type of bit field too small for number of bits,'identifier': 비트 수에 비해 비트 필드 형식이 너무 작음
tmp: type of bit field too small for number of bits,tmp: 비트 수에 비해 비트 필드 형식이 너무 작음
a: type of bit field too small for number of bits,a: 비트 수에 비해 비트 필드 형식이 너무 작음
i: type of bit field too small for number of bits,i: 비트 수에 비해 비트 필드 형식이 너무 작음
a non-virtual destructor with 'accessibility' accessibility is not allowed for this type,Accessibility' 액세스 권한이 있는 가상이 아닌 소멸자는 이 유형에 허용되지 않습니다.
'identifier': unknown size,'identifier': 알 수 없는 크기
tmp: unknown size,tmp: 알 수 없는 크기
a: unknown size,a: 알 수 없는 크기
i: unknown size,i: 알 수 없는 크기
left of 'identifier' specifies undefined struct/union 'type',identifier'의 왼쪽은 정의되지 않은 구조체/공용체 'type'을 지정합니다.
left of tmp specifies undefined struct/union 'type',identifier'의 왼쪽은 정의되지 않은 구조체/공용체 'type'을 지정합니다.
left of a specifies undefined struct/union 'type',identifier'의 왼쪽은 정의되지 않은 구조체/공용체 'type'을 지정합니다.
left of i specifies undefined struct/union 'type',identifier'의 왼쪽은 정의되지 않은 구조체/공용체 'type'을 지정합니다.
the std namespace cannot be inline,std 네임스페이스는 인라인일 수 없습니다.
'identifier1': is not a member of 'identifier2','identifier1': 'identifier2'의 멤버가 아닙니다.
'operator': 'identifier1' differs in levels of indirection from 'identifier2','operator': 'identifier1'은 'identifier2'의 간접 참조 수준이 다릅니다.
illegal digit 'character' for base 'number',기본 'number'에 대한 숫자 'character'가 잘못되었습니다.
signed/unsigned keywords mutually exclusive,signed/unsigned 키워드는 함께 사용할 수 없습니다.
illegal break,break가 잘못되었습니다.
illegal continue,continue가 잘못되었습니다.
'identifier': label redefined,'identifier': 레이블이 다시 정의됨
tmp: label redefined,tmp: 레이블이 다시 정의됨
a: label redefined,a: 레이블이 다시 정의됨
i: label redefined,i: 레이블이 다시 정의됨
illegal case,case가 잘못되었습니다.
illegal default,default가 잘못되었습니다.
more than one default,default가 둘 이상입니다.
'identifier': non-inline namespace cannot be reopened as inline,'identifier': 인라인이 아닌 네임스페이스를 인라인으로 다시 열 수 없습니다.
tmp: non-inline namespace cannot be reopened as inline,tmp: 인라인이 아닌 네임스페이스를 인라인으로 다시 열 수 없습니다.
a: non-inline namespace cannot be reopened as inline,a: 인라인이 아닌 네임스페이스를 인라인으로 다시 열 수 없습니다.
i: non-inline namespace cannot be reopened as inline,i: 인라인이 아닌 네임스페이스를 인라인으로 다시 열 수 없습니다.
switch expression not integral,switch 식이 정수가 아님
when expression not integral,when 식이 정수가 아님
case expression not constant,case 식이 상수가 아님
'type': illegal type for case expression,'type': case 식에 잘못된 형식
'identifier': wide string mismatch,'identifier': 와이드 문자열 불일치
