Q,A
"Accordingly, the system input may be generated from, for example, the sensor unit 160 or the wireless communication unit 140.","이에 따라 시스템 입력은 예컨대, 센서부(160) 또는 무선통신부(140) 등에서 발생된 것일 수 있다."
"Dynamic DB is a form of distributing the results obtained through the calculation process of static DB data, and the main calculations include selection of representative routes and distribution of traffic.","동적 DB는 정적 DB 자료의 연산과정을 거쳐 나온 결과물을 배분하는 형태로서, 주 연산은 대표경로 선정 및 통행 분포를 포함한다."
It was the fourth station after the three stations in Japan at the time.,이는 당시 일본에 있던 3개 방송국의 뒤를 이은 4번째 방송국이었다.
"In this regard, while increasing the number of feature information, the LUT learning step (S100) may be performed again.","이와 관련하여, 상기 특징정보의 개수를 증가시키면서, 상기 LUT 학습 단계(S100)를 다시 수행할 수 있다."
The payment terminal 200 may be a terminal disposed in the offline store 101.,결제 단말(200)은 오프라인 스토어(101)에 배치된 단말일 수 있다.
"Here, the service request frame may include LDR information of a node requesting a service.","여기서, 서비스 요청 프레임은 서비스를 요청하는 노드의 LDR 정보를 포함할 수 있다."
"Accordingly, even if the swipe is performed immediately after the vertical scroll according to the user's manipulation, the empty space is not displayed.","이에 따라, 사용자의 조작에 따른 상하 스크롤 직후 스와입을 수행하여도 빈 공간을 보여 주지 않게 된다."
"In this paper, I would like to describe the current status of the drone-based island and mountain delivery service for the future of the post office delivery business.",본고에서는 우체국 택배 사업의 미래를 위한 드론 기반의 도서·산간 배송 서비스 추진 현황에 대해 기술하고자 한다.
"Accordingly, the user can easily open the door by using the displayed door open UI.","따라서, 사용자는 디스플레이된 도어 오픈 UI를 이용하여, 용이하게 도어를 오픈할 수 있게 된다."
The location information may indicate a place where the device 1000 is currently located or location coordinates.,위치 정보는 디바이스(1000)가 현재 위치한 장소 또는 위치 좌표를 나타낼 수 있다.
6 is a diagram illustrating signal exchange for downlink reception beamforming gain control in a wireless communication system according to an embodiment of the present invention.,도 6는 본 발명의 실시 예에 따른 무선통신 시스템에서 하향링크 수신 빔포밍 이득 제어를 위한 신호 교환을 도시하고 있다.
"According to the growth path theory, each company can have a different growth path.",성장경로 이론에 따르면 기업마다 성장경로가 상이할 수 있다.
The device 500 may add authentication information to the print data in step 711.,"디바이스(500)는 711 단계에서, 프린트 데이터에 인증 정보를 부가할 수 있다."
"In this case, the reference image information ColRefPic may be stored in the variable PicA (S21).","이 때, 상기 참조 영상 정보(ColRefPic)는 변수 PicA에 저장될 수 있다(S21)."
The robot 200 may transmit an image captured by a camera to the electronic device 100.,로봇(200)은 카메라로 촬영한 영상을 전자장치(100)로 전송할 수 있다.
The automatic gain control unit 266 may output the gain-controlled base station signal to the headend combining/distributing unit 216.,자동 이득 제어부(266)는 이득 제어된 기지국 신호를 헤드엔드 결합/분배부(216)로 출력할 수 있다.
"In the future, the cost of using the network could be lower than the cost of using memory.",미래에는 메모리 사용 비용보다 네트워크 사용 비용이 더욱 저렴해질 수 있을 것이다.
"In this model, one evaluation index is defined for one activity.",이 모델에서는 하나의 활동에 대해 하나의 평가지표가 정의된다.
7A and 7B are diagrams for explaining an operation method in a third mode according to an embodiment of the present invention.,도 7a 및 도 7b는 본 발명의 일 실시 예에 따른 제3 모드에서의 동작 방법을 설명하기 위한 도면들이다.
"In one embodiment, an instruction for performing an operation according to at least one embodiment may be executed by a CPU.","한 실시예에서, 적어도 한 실시예에 따른 연산을 수행하는 명령어는 CPU에 의해 수행될 수 있다."
The combinations are ordered based on their probabilities of being correct.,상기 조합들은 이들의 정확한 것일 확률들에 기초하여 순서가 정해진다.
"If you use fax, you have to pay 3 US dollars per fax.",팩스를 이용할 경우는 팩스 1장당 3US 달러를 지불해야 이용할 수 있다.
28 is a block diagram of an image processing system according to an embodiment including the image sensor illustrated in FIG. 1.,도 28은 도 1에 도시된 이미지 센서를 포함하는 일 실시 예에 따른 이미지 처리 시스템의 블록도이다.
"The first state and the second state are, respectively, a state in which the terminal is placed so that the front side faces upward and a state in which the terminal is placed so that the rear surface is facing upward, respectively.","제1상태 및 제2상태는 각각, 단말기가 전면이 위를 향하도록 놓인 상태와 후면이 위를 향하도록 놓인 상태이다."
"In operation 1018, the server 900 may transmit the obtained token and the searched signature code to the electronic device 101.","동작 1018에서, 서버(900)는 획득된 토큰 및 검색된 서명 코드를 전자 장치(101)에 전송할 수 있다."
"According to an embodiment, the event detection framework 441 may detect a capture event.","일 실시예에 따라, 이벤트 검출 프레임워크(441)는 캡쳐 이벤트를 검출할 수 있다."
"Accordingly, in the present embodiment, one or more search result records in which the foot print image 121 and the bottom surface image are matched may be searched.",이로써 본 실시예는 족적이미지(121)와 바닥면 이미지가 일치하는 하나 이상의 검색결과레코드를 검색할 수 있다.
"The higher the audit quality, the weaker the positive relationship between capitalized R&D expenses and non-expected operating profit.",감사품질이 높을수록 자본화된 연구 개발비와 비기대 영업이익 간의 양의 관계가 약화될 것이다.
The report predicted that autonomous transport vehicles would take more than five years to be accepted.,해당 보고서에 자율운행 운송 차량은 수용까지 5년 이상이 소요될 것으로 예측되었다.
"Therefore, it is necessary to determine at least one object included in the 2D image relatively quickly and accurately.","따라서, 2D 영상에 포함된 적어도 하나의 객체를 비교적 빠르고 정확하게 판별해낼 필요가 있다."
"Given the circumstances, it is difficult to say for sure whether the future of North Korea's information and communications technology will prevail between the continued strong control of the North Korean authorities and the deviant exploitation of the North Koreans.","정황을 고려할 때, 북한 정보통신의 미래는 북한 당국의 강력한 통제의 지속과 이를 벗어난 북한 주민들의 일탈적 이용 사이에서 어느 쪽에 힘이 실릴 것인지는 확언하기 어렵다."
The order associated with the first data is received by the data exchange platform and from the second device associated with the second user.,제1 데이터와 관련된 주문은 데이터 교환 플랫폼에 의해 그리고 제2 사용자와 관련된 제2 디바이스로부터 수신된다.
It is possible to request search information desired by the user to the cotton management server 100 and receive the requested information.,사용자가 원하는 검색정보를 원면관리서버(100) 측으로 요청하고 요청한 정보를 제공받을 수 도 있다.
The attachment display area 41c is an area for displaying an icon indicating an attachment currently mounted.,"어태치먼트표시영역(41c)은, 현재 장착되어 있는 어태치먼트를 나타내는 아이콘을 표시하는 영역이다."
"In this process, the controller 160 may support outputting the fuel gauge to the indicator area as well.",이 과정에서 제어부(160)는 연료 게이지를 인디케이터 영역에도 출력하도록 지원할 수 있다.
The cover panel 122n may include a base layer 712 that can be stretched by an external force.,커버 패널(122n)은 외부 힘에 의해 연신 가능한 기재층(712)을 포함할 수 있다.
It is possible for the operator to provide the SSC mode selection policy to the user device.,오퍼레이터가 사용자 장치에게 SSC 모드 선택 정책을 제공하는 것이 가능하다.
Some users may have greater diagnostic access rights than others.,일부 사용자들은 다른 사용자들보다 더 큰 진단 액세스 권한들을 가질 수 있다.
"In the panel probit model, we will examine the estimation results focusing on statistically significant explanatory variables.",패널 프로빗 모델에서 통계적으로 상당한 설명변수들을 중심으로 추정 결과를 살펴볼 것이다.
The 'policy coordination' model of this study based on the behavioral economics perspective can give meaningful implications at the present time when the development of new information and communication technology requires a new level of policy communication strategy.,행동 경제학적 관점에 기반한 이 연구의 ‘정책 조정’ 모형은 새로운 정보 통신 기술의 발달이 새로운 차원의 정책 소통 전략을 요구하는 현시점에 의미 있는 시사점을 줄 수 있는 것이라 하겠다.
Inaccessible areas and bamboo stands with a minimum management unit of less than 0.5 ha were excluded.,접근 불가능한 지역 및 최소 관리 단위 0.5 ha 미만의 대나무 임분은 제외하였다.
"In writing the scenario, consultation and agreement between the postal service and the supporting entity are necessary.",시나리오 작성에는 우편사업과 지원주체 간의 협의와 합의가 필요한 것이다.
"In some embodiments, the respective application is opened in response to detecting activation of the button.","일부 실시예들에서, 각자의 애플리케이션은 버튼의 활성화를 검출한 것에 응답하여 열린다."
The motion focus can be displayed as a cursor in a VR scenario.,동작 포커스는 VR 시나리오에서 커서로서 디스플레이될 수 있다.
The second field for each serving cell is included only when the corresponding indicator of the first field is set to 1.,각 서빙셀에 대한 제2 필드는 상기 제1 필드의 해당 지시자가 1로 설정되어 있을 때만 포함된다.
The information 40002 may be AR information for indicating information related to the image 40001.,정보(40002)는 영상(40001)에 관련된 정보를 나타내기 위한 AR정보일 수 있다.
"To this end, the storage unit 230 may additionally store a command for request information.","이를 위해, 저장부(230)는 요청 정보에 대한 명령어를 추가로 저장할 수 있다."
It can be seen that the evaluation results of this study and the drought prediction and warning results are generally similar.,본 연구의 평가 결과와 가뭄 예경보 결과가 대체로 유사하게 나타남을 알 수 있다.
"According to various embodiments, at least one of the first reinforcing member and the second reinforcing member may be made of a waterproof material.","다양한 실시 예에 따르면, 상기 제1 보강 부재 및 상기 제2 보강 부재 중 적어도 하나는 방수 소재로 마련될 수 있다."
Regions A to C may have a size substantially the same as or similar to the second spot SM2.,영역 A 내지 C는 제2 얼룩(SM2)과 거의 동일하거나 유사한 크기를 가질 수 있다.
The semiconductor device 1040 may include the repair device 1050 according to the embodiment described above.,반도체 장치(1040)는 앞에서 설명된 실시예에 따른 리페어 장치(1050)를 포함할 수 있다.
The input module 151 may be configured with various key maps supported by the terminal 100.,입력 모듈(151)은 단말기(100)가 지원 가능한 다양한 키 맵으로 구성될 수 있다.
"In operation 317, the electronic device may execute a predefined command based on the designated area determined in operation 315.","동작 317에서, 전자 장치는 상기 동작 315에서 판단된 지정된 영역에 기초하여 미리 정의된 명령을 수행할 수 있다."
"The display 415 may provide a notification message to the user as an output device, for example.","디스플레이(415)는 예를 들어, 출력 장치로서 사용자에게 알림 메시지를 제공할 수 있다."
"Table 1 below shows the company types, major industries, and major business areas of the 201 companies that participated in this survey.","본 설문 조사에 참여한 201개 기업의 기업 유형, 주요 업종 및 주요 업무 분야는 아래 <표 1>과 같다."
"Here, the controller 110 controls each sub-operation of the color matching device 100.","여기서, 제어부(110)는 색 일치 장치(100)의 각 부 동작을 제어한다."
Various encoding techniques have been devised to prevent unauthorized access to currently communicated and/or stored data.,현재 통신되거나/또는 저장된 데이터에 대한 무단 액세스를 방지하기 위해 다양한 인코딩 기술들이 고안되었다.
"Here, trends in research on ICT utilization were analyzed, but there was no attempt to grasp the overall flow of ICT4D-related research and draw implications.","여기에서 ICT 활용에 관한 연구의 동향 분석 등이 이루어졌으나, ICT4D 관련 연구의 전반적인 흐름을 파악하고 시사점을 도출하려는 시도는 없었다."
7 is a cross-sectional view similar to that of FIG. 6 in a display device according to another exemplary embodiment.,도 7은 다른 일 실시예에 따른 표시 장치에서 도 6과 동일한 단면을 도시한 것이다.
"If the same process role and role policy do not exist, they are stored in the access control module 30.","동일한 프로세스 역할과 역할 정책이 존재하지 않는 경우, 접근통제 모듈(30)에 저장한다."
Functions such as application variant code replacement can be performed through an agent program.,애플리케이션 변이 코드 대체등의 기능은 에이전트 프로그램을 통하여 수행할 수 있다.
Second impurity regions are formed in the first region of the substrate so as to partially overlap the first impurity region.,상기 기판의 제1 영역에 상기 제1 불순물 영역과 부분적으로 중첩되도록 제2 불순물 영역들을 형성한다.
The control unit 630 may control other units to perform various embodiments described in the present invention.,제어부(630)는 본 발명에서 설명하고 있는 다양한 실시예를 수행하도록 다른 부들을 제어할 수 있다.
"In the midst of the COVID-19 crisis, it can be seen that daily life restrictions are inevitable, and this is a hardship not only for the elderly but also for the entire nation.","코로나19 위기 상황에서 일상 생활의 제약은 불가피하다고 볼 수 있으며, 이는 노인뿐만 아니라 전 국민이 겪는 어려움이다."
"As of 2016, out of 270 million, the remaining number was only 37.4 million.","2016년 기준 2억 7,000만 개 중 남은 번호 잔량은 3,740만 개 수준에 그쳤다."
"That is, in a system in which a new version of firmware is running, it may not be possible to perform a fast booting with the existing version of the boot image.","즉, 새로운 버전의 펌웨어가 동작하는 시스템에서는 기존 버전의 부트 이미지로 빠른 부팅을 수행할 수 없을 수 있다."
"Upon reading, each ring oscillator may be allowed to toggle its respective associated counter for a predetermined length of time.","판독 시, 각각의 링 오실레이터는 그의 각자 결합된 카운터를 사전결정된 길이의 시간 동안 토글링하도록 허용될 수 있다."
The backup interface 201 provides a separate data path for the backup operation in addition to the data path during the normal operation.,백업 인터페이스(201)는 노멀 동작시의 데이터 경로 이외에 백업 동작을 위한 별도의 데이터 경로를 제공한다.
"Here, df refers to the number of signals simultaneously transmitted and received in one tone included in the factor graph matrix.","여기서, df는 상기 팩터 그래프 행렬에 포함된 하나의 톤(tone)에서 동시에 송수신되는 신호의 수를 의미한다."
The voice input unit 160 is a component for receiving a user voice or other sound and converting it into audio data.,음성 입력부(160)는 사용자 음성이나 기타 소리를 입력받아 오디오 데이터로 변환하기 위한 구성이다.
The experiment of the proposed methodology was conducted using the evacuation simulator EgresSIM.,제안한 방법론의 실험은 대피 시뮬레이터 EgresSIM을 이용하여 진행하였다.
"Optionally, the touch panel may be part of the imaging display 14.","선택적으로, 터치 패널은 촬상 디스플레이(14)의 일부일 수 있다."
Reference numeral 1505 is a graph showing the relationship between the number of transmitters and complexity when using the conventional FFT method.,참조번호 1505는 종래의 FFT 방식을 사용할 때 송신단의 수와 복잡도의 관계를 나타내는 그래프이다.
A 3D eye may be created by combining the detected eye shape of another user and the detected eye color of another user.,검출된 다른 사용자의 눈 형상과 검출된 다른 사용자의 눈 컬러를 조합하여 3차원 눈을 생성할 수 있다.
"That is, different image views are disposed to cross each other in the pixel column corresponding to each of the first region 101 and the second region 102.","즉, 제1 영역(101) 및 제2 영역(102) 각각 대응되는 픽셀 열에 서로 다른 영상 뷰가 교차하여 배치된다."
"Specifically, some implementations include a method for reading from a storage medium.","구체적으로, 일부 구현예는 저장 매체로부터 판독하기 위한 방법을 포함한다."
"According to an aspect of the present invention, an area of ??the first opening may be smaller than a surface area of ??the first housing.","본 발명의 일측에 따르면, 상기 제1 개구의 면적은 상기 제1 하우징의 표면 면적보다 좁을 수 있다."
"At block 1915, the electronic device determines a task based on the plurality of media items and context data.","블록(1915)에서, 전자 디바이스는 복수의 미디어 항목들 및 컨텍스트 데이터에 기초하여 태스크를 결정한다."
"In order to perform analysis on these data, the data is converted into the same format.",이러한 데이터에 대한 분석을 수행하기 위해서 데이터가 동일한 형식으로 변환된다.
"Although the exact share cannot be calculated, it can be seen that retail financial institutions have a large presence in the French financial sector.",정확한 점유율은 계산할 수는 없지만 소매 금융기관이 프랑스의 금융권에서 차지하는 존재가 크다는 것을 알 수 있다.
The relative coordinate receiver 39 receives relative coordinate information of a moving subject.,상대 좌표 수신부(39)는 이동 피사체의 상대 좌표 정보를 수신한다.
"That is, the MAC entity of the terminal delivers data to the RLC entity based on the logical channel identification information.","즉, 단말의 MAC 엔티티는 논리채널 식별정보를 기반으로 데이터를 RLC 엔티티로 전달한다."
The difficulty of construction in each section was determined in the direction of minimizing the effect on the increase or decrease in the number of input personnel of the existing Pumsem department.,각 구간의 공사 난이도는 기존 품셈과의 투입 인원수 증감에 미치는 영향을 최소화하는 방향으로 결정하였다.
One detector in a group includes an electrode outside the wrist device.,하나의 그룹 내의 하나의 검출기는 손목 디바이스 외부의 전극을 포함한다.
6 is a diagram showing a potential level of a unit pixel of FIG. 3 during an optical integration mode.,도 6은 도 3의 단위 픽셀의 광 집적 모드 동안의 전위 레벨을 나타내는 도면이다.
"If the exporting company had not hedged the currency, it could have gained a large exchange rate.",만약 수출 기업이 환헷지를 하지 않은 경우라면 환전 이득을 크게 얻을 수도 있었다.
The icon 1222 representing the weather condition may display the same information indicated earlier by the icon 1212.,날씨 상태를 나타내는 아이콘(1222)은 아이콘(1212)에 의해 더 일찍 표시된 동일한 정보를 표시할 수 있다.
The display page may be the display page shown in FIG. 15.,상기 디스플레이 페이지는 도 15에 도시된 디스플레이 페이지일 수 있다.
The authentication module 427 may perform connection with the first electronic device 410 in operation 917.,인증 모듈(427)은 917 동작에서 제 1 전자 장치(410)와 연결을 수행할 수 있다.
The network interface unit 420 receives a display page from the SNS server 20 (S338).,네트워크 인터페이스부(420)는 SNS 서버(20)로부터 디스플레이 페이지를 수신한다(S338).
The bracket 521 includes a support part 521c supporting the elastic deformable layer 550.,상기 브라켓(521)은 상기 탄성변형층(550)을 지지하는 지지부(521c)를 포함한다.
The electronic device 101 may determine the altitude by detecting the occurrence of an event corresponding to the altitude.,전자 장치(101)는 고도에 대응하는 이벤트 발생을 검출함으로써 고도를 판단할 수 있다.
"The point is that loading and unloading of ore is done manually through a joystick by the driver in a remote control room, and the LHD, after loading and unloading, is switched to automatic mode and is designed to automatically drive and get off to the designated drop off location and then return.",광석의 상차는 원거리에 위치한 조정실에서운전자가조이스틱등을통해수동으로진행한다 점과 상차가 완료된 LHD는 자동 모드로 전환되어 지정된 하차 장소까지 자동으로 운행·하차 후 돌아오도록 설계된 다는 점이다.
Speech input 1206 thus represents a user request for a phone number.,스피치 입력(1206)은 따라서 전화번호에 대한 사용자 요청을 표현한다.
The management body of small and medium-sized rivers is basically the local government.,중소하천의 관리 주체는 기본적으로 지방 자치 단체에 있다.
"The certificate store 308 may be a secure store, but need not be a secure store.",인증서 저장소(308)는 보안 저장소일 수 있지만 보안 저장소일 필요는 없다.
The bus 105 provides a communication function between components of the service providing server 100.,버스(105)는 서비스 제공 서버(100)의 구성 요소 간 통신 기능을 제공한다.
The transceiver 1210 may transmit and receive signals with other nodes or base stations.,송수신부(1210)는 다른 노드 또는 기지국과 신호를 송수신할 수 있다.
"According to an embodiment of the present invention, the high voltage switch may transmit an input voltage without dropping a potential during a high voltage transmission operation.","본원 발명의 실시 예에 따르면, 고전압 스위치는 고전압 전송 동작시 전위 드롭 없이 입력 전압을 전송할 수 있다."
The hardware trigger includes a comparator 343 and a phase frequency detector 345.,상기 하드웨어 트리거는 비교기(343)와 위상 주파수 검출기(345)를 포함한다.
The shutter glass part 260 includes a first shutter glass 261 and a second shutter glass 263.,셔터 글래스부(260)는 제1 셔터 글래스(261) 및 제2 셔터 글래스(263)를 포함한다.
"In some embodiments, selection of one or more graphics occurs when the user disconnects from contact with the one or more graphics.","일부 실시예에서, 사용자가 하나 이상의 그래픽과의 접촉을 단절할 때 하나 이상의 그래픽의 선택이 일어난다."
"Subsequently, in step 1230, the image recognition apparatus may calculate a similarity by using the feature data.",이어서 단계(1230)에서 영상 인식 장치는 특징 데이터를 이용하여 유사도를 산출할 수 있다.
"In other words, it can be said that the existing venture startup system has been effectively utilized by venture companies and the manufacturing industry.","즉, 기존의 벤처창업 제도는 벤처기업과 제조업 업종이 효과적으로 활용해 왔다고 볼 수 있다."
"In terms of content, it includes the assignment of negotiating obligations according to good faith, the preparation of negotiation procedures, and factors to consider in calculating the price.","내용적으로는 신의 성실에 따른 협상 의무 부여 및 협상 절차 마련, 대가 산정 고려요소 등을 담는 것이다."
The data transmission device 200 may update the initial value according to the set criterion (520 ).,데이터 송신 장치(200)는 설정된 기준에 따라 초기 값을 갱신할 수 있다(520).
"In this example, each iteration of the second loop for each of the one or more first iterations of the first overlapping loop may be performed in parallel.","이 예에서, 제1 중첩 루프의 하나 이상의 제1 반복 각각에 대한 제2 루프의 각 반복은 병렬로 수행될 수 있다."
"In the MTJ element in which the magnetization direction is perpendicular, the moving direction of the current and the easy axis of magnetization are substantially parallel.",자화 방향이 수직인 MTJ 소자는 전류의 이동 방향과 자화 용이축(easy axis)이 실질적으로 평행하다.
"Since temperature is influenced by the external environment, there is a limit to proving a direct correlation with spatial characteristics.",기온은 외부의 환경이 작용하기 때문에 공간 특성과의 직접적인 연관성을 증명하는 것은 한계가 있다.
The serving base station 402 may receive a measurement report message from the terminal 401.,서빙 기지국(402)은 단말(401)로부터 측정 보고 메시지를 수신할 수 있다.
The function of one or more of the buttons is optionally user customizable.,버튼들 중 하나 이상의 버튼의 기능은 선택적으로 사용자 맞춤가능이다.
The display apparatus 200 displays a screen including various objects to which a bending interaction guide is added.,디스플레이 장치(200)는 벤딩 인터렉션 가이드가 부가된 각종 객체를 포함하는 화면을 디스플레이한다.
The user of the electronic device 500 may recognize that the third signal is blocked through the warning message.,상기 전자 장치 500의 사용자는 상기 경고 메시지를 통해 상기 제3 신호가 차단되었음을 인지할 수 있다.
"In this way, the first display object and the second display object are associated display objects.","이 방식으로, 제1 디스플레이 객체 및 제2 디스플레이 객체는 연관된 디스플레이 객체이다."
"In another embodiment, the type of the selected portion of the content to which the context-based menu is applied may be displayed in the center.","다른 실시예에서, 컨텍스트 기반 메뉴를 적용하는 콘텐츠의 선택된 부분의 유형이 중심에 디스플레이될 수 있다."
The combination of 14.2 channel surround sound and the media fa?ade effect using an open wall installed at a 270 degree angle is reminiscent of an actual Hallyu singer's concert hall.,14.2 채널의 서라운드 음향과 270도 각도로 설치된 개방형 벽 면을 활용한 미디어 파사드 효과가 결합되어 실제 한류 가수의 공연장을 방불케 하고 있다.
The concentrated residue was recrystallized from tetrahydrofuran and methanol to obtain 17.2 g of intermediate B-1-1.,농축된 잔사를 테트라하이드로퓨란과 메탄올로 재결정하여 중간체 B-1-1을 17.2 g 얻었다.
The voltage reducing circuit 250 may generate a low voltage Vpwell lower than the second power voltage GND.,전압 감압 회로(250)는 제 2 전원 전압(GND)보다 낮은 저전압(Vpwell)을 생성할 수 있다.
"Therefore, the communication unit 130 may communicate with the server 200 using various methods.","따라서, 통신부(130)는 서버(200)와 여러 방식을 이용하여 통신을 수행할 수 있다."
"It was found that the higher the founder's educational background, the higher the patent performance was when the major was science and engineering.","창업자 학력이 높을수록, 또 전공이 이공계인 경우에 특허 성과가 높은 것으로 나타났다."
"In operation 2103, the electronic device 2001 may set a user or a user group who can download theme data.","동작 2103에서, 전자 장치 2001은 테마 데이터를 다운로드할 수 있는 사용자 또는 사용자 그룹을 설정할 수 있다."
All five participants accepted a 1-month classification training and learning course.,5명의 참가자는 모두 1개월 분류 교육 및 학습 과정을 수락했다.
"According to the results of this thesis, it is difficult to see OTT service as an alternative service to pay broadcasting until now.","본 논문의 결과에 따르면, 현재까지는 OTT 서비스를 유료방송의 대체 서비스로 보기 어렵다."
"The protective layer 411 may not overlap with the flexible function module (eg, a polarizing film).","보호막(411)은 연성 기능 모듈(예를 들어, 편광 필름)과 중첩하지 않을 수 있다."
Interest is measured by calculating a score for each candidate content item.,흥미도는 각 후보 컨텐츠 아이템에 대한 스코어를 계산함에 의해 측정된다.
"In actual development of ConvRNN, it is an important problem to find a way to achieve fast learning convergence.","ConvRNN을 실제 개발함에 있어, 빠른 학습 수렴을 달성하는 방법을 찾는 것이 중요한 문제이다."
The input module 130 may receive a user input for selecting information displayed on the display 120.,입력 모듈(130)은 디스플레이(120)에 표시된 정보를 선택하는 사용자 입력을 수신할 수 있다.
"Until now, discussions for the commercialization of autonomous vehicles have been accumulated in foreign countries and in Korea.",지금까지 자율 주행 자동차 상용화를 위한 논의는 해외나 한국에서 많이 축적되어왔다.
What should be considered during execution is to improve the accuracy of classification by securing additional training data.,수행 시 고려해야 할 사항은 추가적인 학습 데이터를 확보해 분류의 정확도를 향상시키는 것이다.
The quality calculation information 143 may include information necessary to calculate a quality score of an image.,품질 산출 정보(143)는 영상의 품질 점수를 산출하기 위해 필요한 정보를 포함할 수 있다.
"These are the results of technology convergence, product convergence, service convergence, industry convergence, and business convergence, respectively.","이들은 각각 기술융합, 제품융합, 서비스 융합, 산업융합, 비즈니스 융합의 결과물이다."
The first ADC 120 and the second ADC 130 may receive analog signals output by dark pixels.,제 1 ADC(120) 및 제 2 ADC(130)는 다크 픽셀들에 의해 출력되는 아날로그 신호들을 수신할 수 있다.
The resulting signed/keyed digest (verification result) is exported by the HWC.,결과적인 서명/키잉된 다이제스트 (입증 결과)가 HWC에 의해 엑스포트된다.
The device 1000 may identify at least one keyword from a message obtained from at least one chat window.,디바이스(1000)는 적어도 하나의 채팅창으로부터 획득된 메시지로부터 적어도 하나의 키워드를 식별할 수 있다.
"Meanwhile, activation of the rotation detection sensor may be performed in advance before the beam sweeping procedure.","한편, 회전 감지 센서의 활성화는 빔 스위핑 절차 이전에 미리 수행될 수도 있다."
He emphasized that there are no cases where contract delays lead to contract cancellation or production failure.,계약 지연이 계약 취소나 제작 파행으로 이어지는 사례는 없다고 강조했다.
"Finally, the encoder 111 may encode a 2D interblock using the interblock encoder 1740.","마지막으로, 부호화부(111)는 인터 블록 인코더(1740)를 이용하여 2D 인터 블록을 부호화할 수 있다."
"Recently, it is building a chatbot service on the first level and an intelligent assistant on the second level.",최근에 그것은 1단계의 챗봇 서비스와 2단계의 지능형 비서를 구축하고 있다.
Table 1 shows srs-SubframeConfig among cell-specific SRS parameters.,표 1은 셀-특정 SRS 파라미터 중에서 srs-SubframeConfig를 나타낸다.
"In an embodiment, the first error correction code ECC1 and the second error correction code ECC2 may be different from each other.","실시 예에 있어서, 제 1 에러 정정 코드(ECC1)와 제 2 에러 정정 코드(ECC2)는 서로 다를 수 있다."
3 is a block diagram illustrating an example of a specific configuration of the BB chip of FIG. 1.,도 3은 도 1의 BB 칩의 구체적인 구성의 일 예를 나타내는 블록도이다.
"In operation 811 according to various embodiments, the electronic device 101 may measure the network quality of Wi-Fi.",다양한 실시 예에 따른 동작 811에서 전자 장치(101)는 Wi-Fi의 네트워크 품질을 측정할 수 있다.
The electronic device may control a function of the electronic device based on the sensed surrounding environment.,전자 장치는 감지된 주변 환경에 기반하여 전자 장치의 기능을 제어할 수 있다.
"Accordingly, various types of evidence can be derived.",이에 따른 다양한 증거 유형이 도출될 수 있다.
"That is, the touch release position of FIG. 13C is lower than that of FIG. 13A on the vertical axis of the terminal screen.","즉, 도 13a보다 도 13c의 터치 해제 위치가 단말기 스크린의 세로축 하단이다."
The artificial intelligence module 130 may analyze the received valid data and calculate result data according to the analyzed result.,"인공 지능 모듈(130)은 수신된 유효 데이터를 분석하고, 분석된 결과에 따른 결과 데이터를 계산할 수 있다."
